ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -27.18, -65.64, 55.77, 16.22, 12.01, 0.01, 70.10, -53.48
 1, 325.00, -26.57, -68.22, 1186.46, -9.68, -52.64, 4.01, 87.42, 169.58 
2, 230.00, 24.12, -93.73, 48.39, -15.65, -30.51, 0.01, 54.68, 152.85
 2, 325.00, 27.37, -119.29, 1153.37, 45.67, -279.56, 4.01, 76.20, -170.72 
3, 230.00, -43.89, -28.35, 56.46, 1.56, -18.11, 0.01, 72.15, -175.09
 3, 325.00, -45.72, -32.42, 1186.56, -31.40, -40.61, 4.01, 87.52, 142.29 
4, 230.00, -25.46, -19.52, 6.90, -47.79, -34.44, 0.01, 6.68, 125.78
 4, 325.00, -34.04, -25.75, 1184.69, -67.82, -49.66, 4.01, 85.94, 126.21 
5, 230.00, 79.11, -16.11, 33.72, 48.65, -3.70, 0.01, 34.65, -94.35
 5, 325.00, 94.28, -18.27, 1176.08, 163.38, -26.45, 4.01, 81.99, -99.20 
6, 230.00, 31.92, -46.66, 19.39, 4.26, 55.89, 0.01, 19.08, -4.36
 6, 325.00, 34.12, -40.22, 1187.07, 28.91, 24.03, 4.01, 88.19, -50.27 
7, 230.00, 54.77, 23.37, 19.68, 9.63, -55.11, 0.01, 19.38, -170.09
 7, 325.00, 59.15, 16.06, 1185.71, 55.30, -39.82, 4.01, 86.71, -125.76 
8, 230.00, -54.03, -18.94, 39.93, -16.15, 40.77, 0.01, 42.32, 21.60
 8, 325.00, -59.25, -13.68, 1185.78, -60.66, 28.33, 4.01, 86.77, 64.97 
9, 230.00, 67.78, -43.58, 58.91, -5.79, -3.69, 0.01, 83.36, 122.52
 9, 325.00, 73.02, -48.04, 1183.45, 80.28, -59.70, 4.01, 85.17, -126.63 
10, 230.00, 65.39, 46.80, 33.01, -47.52, -13.04, 0.01, 33.82, 105.34
 10, 325.00, 63.74, 48.76, 1186.63, 26.66, 41.91, 4.01, 87.60, -32.46 
11, 230.00, -42.82, -31.80, 16.80, 15.88, 54.62, 0.01, 16.46, -16.21
 11, 325.00, -42.30, -24.73, 1187.07, -14.56, 34.84, 4.01, 88.18, 22.68 
12, 230.00, -52.53, -53.29, 1.38, 51.67, 29.09, 0.01, 1.33, -60.62
 12, 325.00, -48.19, -52.50, 1187.44, 1.97, -23.29, 4.01, 88.87, -175.16 
13, 230.00, 16.88, 33.79, 4.00, -20.98, -55.33, 0.01, 3.87, 159.23
 13, 325.00, 14.21, 26.33, 1187.13, -9.92, -34.21, 4.01, 88.28, 163.83 
14, 230.00, -51.66, -45.69, 11.38, -22.62, -53.63, 0.01, 11.07, 157.13
 14, 325.00, -58.83, -57.24, 1180.22, -79.25, -106.63, 4.01, 83.58, 143.38 
15, 230.00, -23.86, -0.72, 12.21, 15.80, -55.85, 0.01, 11.88, -164.20
 15, 325.00, -22.29, -9.62, 1186.02, -4.94, -62.42, 4.01, 86.98, 175.48 
16, 230.00, -58.92, -52.04, 52.32, 26.18, 9.74, 0.01, 61.91, -69.60
 16, 325.00, -59.83, -54.83, 1185.89, -40.82, -50.59, 4.01, 86.86, 141.10 
17, 230.00, -31.17, 57.81, 55.43, 7.68, 19.64, 0.01, 69.17, -21.34
 17, 325.00, -31.92, 64.28, 1185.11, -20.87, 75.09, 4.01, 86.24, 15.53 
18, 230.00, -84.15, -48.31, 14.36, -42.91, 38.35, 0.01, 14.01, 48.21
 18, 325.00, -109.88, -54.01, 1152.78, -272.63, -85.77, 4.01, 76.08, 107.46 
19, 230.00, -10.83, -16.32, 31.57, -49.43, 8.85, 0.01, 32.16, 79.85
 19, 325.00, -18.99, -15.57, 1185.91, -64.55, -5.41, 4.01, 86.87, 94.79 
20, 230.00, 46.15, -35.46, 14.37, -34.98, -45.69, 0.01, 14.02, 142.57
 20, 325.00, 43.11, -44.43, 1185.11, 0.22, -77.91, 4.01, 86.24, -179.84 
21, 230.00, -19.27, 28.23, 46.10, -22.38, 29.86, 0.01, 51.02, 36.85
 21, 325.00, -23.46, 33.92, 1186.02, -36.66, 50.59, 4.01, 86.98, 35.92 
22, 230.00, 29.72, 76.12, 52.36, -27.21, -6.03, 0.01, 61.98, 102.50
 22, 325.00, 28.44, 82.22, 1184.06, 8.86, 92.14, 4.01, 85.53, -5.50 
23, 230.00, -56.63, -54.95, 55.69, 19.83, -4.82, 0.01, 69.87, -103.67
 23, 325.00, -58.46, -60.28, 1184.58, -46.92, -71.69, 4.01, 85.86, 146.80 
24, 230.00, -23.19, 54.00, 33.03, 34.72, -34.95, 0.01, 33.84, -135.19
