ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 85.50, 44.99, 33.90, -25.90, 41.20, 0.01, 34.86, 32.16
 1, 325.00, 99.72, 60.28, 1162.97, 182.64, 157.40, 4.01, 78.29, -49.25 
2, 230.00, 11.99, -61.71, 25.37, 52.31, 11.75, 0.01, 25.32, -77.34
 2, 325.00, 20.73, -63.41, 1185.07, 66.70, -41.54, 4.01, 86.21, -121.92 
3, 230.00, -57.62, 63.99, 12.43, -46.37, 34.83, 0.01, 12.10, 53.09
 3, 325.00, -71.87, 77.31, 1169.42, -147.75, 145.57, 4.01, 79.94, 45.43 
4, 230.00, 56.21, -31.84, 31.66, -2.33, -50.10, 0.01, 32.26, 177.34
 4, 325.00, 59.28, -41.45, 1183.67, 49.84, -83.60, 4.01, 85.30, -149.20 
5, 230.00, -11.08, 54.80, 17.64, 21.75, 52.28, 0.01, 17.30, -22.59
 5, 325.00, -8.28, 65.84, 1183.24, 14.13, 101.50, 4.01, 85.05, -7.93 
6, 230.00, -76.27, 36.48, 43.05, -37.07, 17.03, 0.01, 46.54, 65.32
 6, 325.00, -90.37, 43.12, 1174.75, -157.93, 74.77, 4.01, 81.54, 64.66 
7, 230.00, 70.72, 15.89, 41.16, -37.10, 21.15, 0.01, 43.94, 60.32
 7, 325.00, 69.94, 20.16, 1186.61, 31.61, 38.92, 4.01, 87.58, -39.09 
8, 230.00, 91.33, -25.57, 13.97, 7.62, 57.13, 0.01, 13.63, -7.60
 8, 325.00, 108.81, -21.85, 1169.12, 208.99, 7.78, 4.01, 79.86, -87.87 
9, 230.00, 19.83, 23.23, 3.42, -55.44, 20.81, 0.01, 3.30, 69.43
 9, 325.00, 11.76, 27.45, 1186.15, -44.88, 39.86, 4.01, 87.10, 48.39 
10, 230.00, -20.98, -90.59, 38.87, 33.59, -29.64, 0.01, 40.95, -131.43
 10, 325.00, -19.62, -109.98, 1166.94, -6.08, -220.88, 4.01, 79.28, 178.42 
