ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -50.94, -14.88, 54.85, 9.59, -20.42, 0.01, 67.64, -154.84
 1, 325.00, -51.89, -18.67, 1186.88, -28.17, -32.93, 4.01, 87.91, 139.45 
2, 230.00, -8.46, 68.27, 17.21, -16.71, 54.24, 0.01, 16.87, 17.12
 2, 325.00, -11.63, 81.48, 1180.10, -27.09, 131.14, 4.01, 83.53, 11.67 
3, 230.00, -29.94, -51.35, 9.56, 26.20, 52.35, 0.01, 9.28, -26.58
 3, 325.00, -27.34, -45.72, 1187.55, 4.60, 15.83, 4.01, 89.20, -16.21 
4, 230.00, -42.55, 55.53, 6.17, -14.60, -57.15, 0.01, 5.97, 165.67
 4, 325.00, -47.52, 50.20, 1186.29, -56.49, -8.56, 4.01, 87.24, 98.61 
5, 230.00, 61.71, 66.81, 50.62, -4.20, -30.62, 0.01, 58.59, 172.19
 5, 325.00, 69.35, 71.33, 1180.26, 103.27, 83.02, 4.01, 83.59, -51.20 
6, 230.00, -47.38, -36.18, 19.55, -48.54, 27.91, 0.01, 19.25, 60.10
 6, 325.00, -57.51, -33.84, 1184.05, -92.61, -0.96, 4.01, 85.53, 90.60 
7, 230.00, -5.85, -13.90, 40.08, 22.91, 37.23, 0.01, 42.52, -31.61
 7, 630.00, 0.85, -6.40, 1453.89, 14.54, 9.02, 6.01, 89.33, -58.18 
8, 230.00, 24.91, -65.70, 39.38, -41.44, 15.82, 0.01, 41.60, 69.11
 8, 325.00, 20.26, -67.54, 1186.57, -20.46, -46.72, 4.01, 87.54, 156.35 
9, 230.00, -89.70, -39.29, 2.33, -31.92, -49.93, 0.01, 2.25, 147.41
 9, 325.00, -119.51, -57.57, 1133.07, -309.64, -176.15, 4.01, 72.55, 119.64 
10, 230.00, 48.59, 17.84, 2.68, -43.12, -40.63, 0.01, 2.59, 133.29
 10, 325.00, 43.93, 12.21, 1187.23, -10.96, -30.47, 4.01, 88.44, 160.21 
11, 230.00, -46.38, -21.90, 47.92, 27.75, 21.26, 0.01, 53.89, -52.55
 11, 325.00, -44.22, -19.64, 1187.64, -4.08, 6.74, 4.01, 89.62, 31.19 
12, 230.00, -14.09, 56.99, 15.56, -41.48, 39.44, 0.01, 15.21, 46.44
 12, 325.00, -21.33, 66.31, 1182.75, -56.82, 91.88, 4.01, 84.78, 31.73 
13, 230.00, 56.69, 53.51, 35.32, -32.40, 34.93, 0.01, 36.55, 42.85
 13, 325.00, 56.57, 63.24, 1182.77, 33.00, 102.55, 4.01, 84.80, -17.84 
14, 230.00, -8.15, 2.37, 23.95, -50.74, -19.22, 0.01, 23.81, 110.75
 14, 630.00, -39.35, -5.29, 1450.26, -102.17, -20.75, 6.01, 85.89, 101.48 
15, 230.00, -83.70, 39.34, 45.22, -35.92, 13.51, 0.01, 49.68, 69.39
 15, 325.00, -102.83, 47.84, 1164.36, -213.33, 96.51, 4.01, 78.63, 65.66 
16, 230.00, 13.93, -83.20, 7.50, 52.61, -26.34, 0.01, 7.27, -116.60
 16, 325.00, 23.48, -96.55, 1174.67, 79.50, -156.15, 4.01, 81.52, -153.02 
17, 230.00, -53.17, 72.75, 49.90, -5.22, -31.62, 0.01, 57.29, 170.63
 17, 325.00, -60.77, 77.54, 1180.46, -96.03, 88.61, 4.01, 83.68, 47.30 
18, 230.00, 92.69, -36.36, 20.29, 5.11, 55.50, 0.01, 20.00, -5.26
 18, 325.00, 122.04, -39.81, 1143.98, 313.92, -58.72, 4.01, 74.40, -100.60 
19, 230.00, 23.31, 29.02, 48.69, -29.24, -17.08, 0.01, 55.18, 120.28
