ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -37.07, 30.98, 39.39, -44.26, 2.62, 0.01, 41.62, 86.61
 1, 425.00, -58.75, 38.34, 1181.79, -107.56, 48.52, 4.01, 84.30, 65.72 
2, 230.00, 85.69, -42.03, 19.86, -36.44, -42.37, 0.01, 19.57, 139.30
 2, 425.00, 119.12, -76.45, 1157.10, 203.53, -173.97, 4.01, 76.97, -130.52 
3, 230.00, -24.78, -62.43, 33.97, 44.89, 18.66, 0.01, 34.95, -67.43
 3, 425.00, -16.88, -71.78, 1184.95, 14.02, -79.02, 4.01, 86.13, -169.94 
4, 230.00, -45.43, 13.77, 14.12, -12.01, -56.34, 0.01, 13.78, 167.97
 4, 425.00, -58.56, -1.37, 1184.01, -79.55, -48.40, 4.01, 85.50, 121.32 
5, 230.00, -11.72, -0.64, 19.58, 53.65, 16.00, 0.01, 19.28, -73.39
 5, 630.00, 11.38, 7.56, 1452.93, 51.44, 20.72, 6.01, 87.81, -68.06 
6, 230.00, 19.16, 0.03, 19.84, -55.47, 6.87, 0.01, 19.54, 82.94
 6, 630.00, -1.40, 3.69, 1453.41, -39.73, 9.48, 6.01, 88.39, 76.58 
7, 230.00, 93.89, 30.58, 15.31, -56.06, -11.84, 0.01, 14.96, 101.93
 7, 425.00, 134.62, 45.72, 1159.39, 242.54, 86.86, 4.01, 77.47, -70.30 
8, 230.00, 75.49, 39.51, 8.59, -18.36, 55.74, 0.01, 8.33, 18.23
 8, 425.00, 97.30, 71.16, 1168.51, 144.13, 156.11, 4.01, 79.69, -42.72 
9, 230.00, 8.82, 37.69, 46.62, -21.48, 29.71, 0.01, 51.82, 35.86
 9, 425.00, 3.83, 54.29, 1184.36, -13.56, 87.58, 4.01, 85.72, 8.80 
10, 230.00, 22.31, 18.00, 1.54, 2.20, -59.25, 0.01, 1.49, -177.87
 10, 425.00, 27.08, 2.06, 1186.24, 33.51, -47.73, 4.01, 87.19, -144.93 
11, 230.00, 72.39, -52.79, 55.22, -1.53, -21.58, 0.01, 68.61, 175.95
 11, 425.00, 101.71, -80.93, 1164.68, 173.85, -154.48, 4.01, 78.71, -131.62 
12, 230.00, -63.38, 11.51, 2.60, -56.65, -17.36, 0.01, 2.51, 107.03
 12, 425.00, -97.91, 8.97, 1174.32, -177.57, -1.64, 4.01, 81.40, 90.53 
13, 230.00, -38.02, -3.38, 26.05, 1.72, -53.25, 0.01, 26.06, -178.15
 13, 425.00, -44.80, -20.91, 1184.62, -50.08, -68.71, 4.01, 85.89, 143.91 
14, 230.00, -25.56, -15.96, 47.64, -25.87, -24.05, 0.01, 53.45, 132.92
 14, 425.00, -38.40, -26.45, 1184.82, -65.18, -50.16, 4.01, 86.03, 127.58 
15, 230.00, 56.21, 44.52, 14.86, -30.87, -48.41, 0.01, 14.51, 147.48
 15, 425.00, 60.74, 40.62, 1186.21, 56.79, 15.80, 4.01, 87.16, -74.45 
16, 230.00, -3.38, -89.92, 6.02, 43.93, 39.39, 0.01, 5.82, -48.12
 16, 425.00, 8.72, -112.47, 1175.96, 46.32, -159.79, 4.01, 81.95, -163.83 
17, 230.00, -90.87, -6.85, 20.05, -51.75, 20.91, 0.01, 19.76, 68.00
 17, 425.00, -149.97, -3.70, 1147.00, -308.07, 7.44, 4.01, 74.96, 88.62 
18, 230.00, -84.76, -10.09, 53.51, 19.50, 16.55, 0.01, 64.45, -49.68
 18, 425.00, -108.00, -8.59, 1177.36, -156.14, -1.25, 4.01, 82.45, 90.46 
19, 230.00, -8.93, 84.65, 49.13, 31.02, 11.91, 0.01, 55.92, -68.99
 19, 425.00, -2.77, 118.52, 1170.67, 18.39, 199.37, 4.01, 80.29, -5.27 
20, 230.00, 1.54, 95.13, 4.02, 22.36, 54.79, 0.01, 3.88, -22.20
 20, 425.00, 9.33, 168.44, 1128.62, 32.53, 368.45, 4.01, 71.85, -5.05 
21, 230.00, -8.90, -11.01, 16.20, 14.71, 55.13, 0.01, 15.85, -14.94
 21, 630.00, -5.17, 13.24, 1452.94, 3.39, 54.84, 6.01, 87.83, -3.54 
22, 230.00, 41.53, 0.77, 37.55, 17.96, 42.25, 0.01, 39.28, -23.04
 22, 425.00, 55.39, 14.18, 1183.86, 79.62, 51.81, 4.01, 85.41, -56.95 
23, 230.00, -42.45, -21.20, 21.52, -34.14, 43.46, 0.01, 21.27, 38.15
 23, 425.00, -62.06, -11.80, 1183.04, -102.45, 21.91, 4.01, 84.94, 77.93 
24, 230.00, -36.37, -79.88, 37.13, 45.57, 7.91, 0.01, 38.76, -80.16
 24, 425.00, -35.98, -106.79, 1175.36, -25.43, -168.67, 4.01, 81.74, 171.42 
25, 230.00, 36.99, -3.68, 55.42, 17.33, -12.09, 0.01, 69.13, -124.90
 25, 425.00, 49.43, -8.13, 1185.37, 71.21, -19.47, 4.01, 86.44, -105.29 
26, 230.00, -16.82, -48.23, 53.99, -24.54, 0.71, 0.01, 65.55, 88.35
 26, 425.00, -27.93, -58.16, 1184.39, -54.03, -69.69, 4.01, 85.74, 142.22 
27, 230.00, 60.55, 55.28, 37.65, -12.49, 44.10, 0.01, 39.40, 15.81
 27, 425.00, 77.21, 87.44, 1170.26, 111.16, 169.42, 4.01, 80.18, -33.27 
28, 230.00, 26.25, -25.50, 17.64, 30.68, -47.60, 0.01, 17.30, -147.20
 28, 425.00, 41.22, -45.73, 1181.75, 73.49, -92.85, 4.01, 84.28, -141.64 
29, 230.00, -90.40, -32.19, 16.43, 20.03, 53.35, 0.01, 16.09, -20.58
 29, 425.00, -130.35, -32.66, 1163.90, -234.91, -26.81, 4.01, 78.52, 96.51 
30, 230.00, -5.75, -99.79, 24.75, 42.66, 32.94, 0.01, 24.67, -52.33
 30, 425.00, 1.36, -189.38, 1104.09, 24.61, -435.61, 4.01, 68.44, -176.77 
31, 230.00, 72.45, 66.53, 15.35, -41.18, 39.82, 0.01, 15.00, 45.96
 31, 425.00, 108.55, 122.82, 1135.60, 203.57, 282.13, 4.01, 72.97, -35.81 
32, 230.00, -58.54, 66.50, 39.83, 38.13, 21.84, 0.01, 42.19, -60.20
 32, 425.00, -69.73, 98.81, 1170.38, -89.25, 181.17, 4.01, 80.21, 26.23 
33, 230.00, -81.08, 51.78, 1.44, 55.69, -20.34, 0.01, 1.39, -110.06
 33, 425.00, -104.21, 71.09, 1170.86, -158.70, 120.12, 4.01, 80.35, 52.88 
34, 230.00, 20.63, -31.28, 47.67, 35.21, -2.20, 0.01, 53.50, -93.57
 34, 425.00, 35.58, -37.99, 1184.71, 70.42, -45.51, 4.01, 85.95, -122.87 
35, 230.00, -58.44, 62.72, 47.96, -34.69, -3.66, 0.01, 53.97, 96.02
 35, 425.00, -90.60, 84.91, 1167.02, -173.43, 136.15, 4.01, 79.30, 51.87 
36, 230.00, 54.81, 19.33, 34.66, -47.82, 5.39, 0.01, 35.76, 83.57
 36, 425.00, 51.77, 25.19, 1186.89, 24.34, 35.41, 4.01, 87.93, -34.51 
37, 230.00, -3.73, -94.56, 58.48, -4.95, -8.54, 0.01, 80.42, 149.93
 37, 425.00, -7.08, -145.14, 1154.06, -16.66, -280.07, 4.01, 76.34, 176.60 
38, 230.00, -65.97, -39.87, 21.73, -36.54, 41.35, 0.01, 21.49, 41.47
 38, 425.00, -97.19, -39.05, 1175.01, -171.06, -25.66, 4.01, 81.63, 98.53 
39, 230.00, 77.68, -49.49, 51.03, 14.70, -26.42, 0.01, 59.35, -150.90
 39, 425.00, 118.34, -80.48, 1154.57, 224.93, -164.16, 4.01, 76.44, -126.12 
40, 230.00, -28.67, -91.24, 18.86, 34.95, -44.05, 0.01, 18.54, -141.57
 40, 425.00, -34.67, -157.35, 1137.32, -46.40, -338.97, 4.01, 73.26, 172.21 
41, 230.00, 18.96, -34.42, 50.78, -10.73, -28.70, 0.01, 58.90, 159.51
 41, 425.00, 19.30, -50.02, 1184.77, 13.32, -81.82, 4.01, 86.00, -170.75 
42, 230.00, 71.04, 45.40, 53.38, 25.77, -1.93, 0.01, 64.17, -94.28
 42, 425.00, 104.08, 60.97, 1169.10, 185.74, 96.24, 4.01, 79.86, -62.61 
43, 230.00, -35.12, -55.96, 0.68, 23.88, 54.29, 0.01, 0.66, -23.74
 43, 425.00, -35.72, -51.74, 1187.17, -26.38, -22.23, 4.01, 88.34, 130.12 
44, 230.00, -32.36, 10.87, 24.33, 12.84, -52.54, 0.01, 24.22, -166.27
 44, 425.00, -34.29, -3.81, 1186.33, -28.41, -48.68, 4.01, 87.28, 149.73 
45, 230.00, 26.04, 26.91, 5.92, -47.84, -34.55, 0.01, 5.72, 125.83
 45, 425.00, 15.48, 20.80, 1187.46, -21.85, -4.30, 4.01, 88.93, 101.12 
46, 230.00, 69.53, -29.44, 36.38, 21.99, 41.36, 0.01, 37.83, -27.99
 46, 425.00, 96.38, -25.22, 1177.39, 155.84, -4.22, 4.01, 82.46, -91.55 
47, 230.00, 54.15, -32.88, 46.70, -36.06, 6.03, 0.01, 51.94, 80.51
 47, 425.00, 55.52, -38.60, 1186.12, 41.40, -44.27, 4.01, 87.07, -136.92 
48, 230.00, 42.82, 28.34, 18.84, 13.73, -54.54, 0.01, 18.52, -165.87
 48, 425.00, 56.11, 16.97, 1184.79, 78.82, -24.72, 4.01, 86.01, -107.41 
49, 230.00, 49.05, 85.69, 3.82, 8.95, -58.51, 0.01, 3.69, -171.30
 49, 425.00, 82.24, 121.87, 1154.41, 176.12, 216.76, 4.01, 76.40, -39.09 
50, 230.00, -6.50, -93.03, 4.68, -25.79, 53.20, 0.01, 4.53, 25.87
 50, 425.00, -17.06, -116.69, 1174.66, -48.17, -168.53, 4.01, 81.51, 164.05 
51, 230.00, 33.12, -66.06, 19.29, 28.94, 48.04, 0.01, 18.98, -31.07
 51, 425.00, 51.05, -68.92, 1182.55, 93.71, -57.90, 4.01, 84.68, -121.71 
52, 230.00, -79.65, 29.66, 36.67, 17.75, -43.11, 0.01, 38.19, -157.62
 52, 425.00, -101.06, 26.59, 1178.77, -144.81, 9.34, 4.01, 82.98, 86.31 
53, 230.00, -1.33, -83.03, 12.48, -54.29, 20.35, 0.01, 12.15, 69.45
 53, 425.00, -18.55, -103.98, 1176.74, -69.47, -144.94, 4.01, 82.22, 154.39 
54, 230.00, -59.34, -10.87, 44.05, 27.79, -28.37, 0.01, 47.97, -135.59
 54, 425.00, -64.13, -22.10, 1185.16, -57.96, -50.93, 4.01, 86.28, 131.31 
55, 230.00, 35.00, 73.94, 46.21, -9.78, 35.86, 0.01, 51.19, 15.25
 55, 425.00, 43.89, 109.92, 1169.36, 61.28, 198.52, 4.01, 79.93, -17.15 
56, 230.00, -71.57, 32.81, 38.25, 36.49, -26.89, 0.01, 40.16, -126.39
 56, 425.00, -80.98, 34.03, 1184.05, -88.25, 28.10, 4.01, 85.53, 72.34 
57, 230.00, 29.18, -24.38, 46.61, 29.03, 22.42, 0.01, 51.80, -52.33
 57, 425.00, 43.83, -22.06, 1185.30, 74.70, -6.52, 4.01, 86.38, -94.99 
58, 230.00, 77.77, -26.99, 21.78, -53.20, 14.60, 0.01, 21.54, 74.66
 58, 425.00, 85.16, -30.74, 1184.05, 85.90, -34.53, 4.01, 85.53, -111.90 
59, 230.00, -28.31, 62.33, 19.75, 52.19, -20.09, 0.01, 19.45, -111.05
 59, 425.00, -18.93, 71.34, 1184.99, 16.94, 77.97, 4.01, 86.15, -12.26 
60, 230.00, -79.72, 23.14, 32.31, 38.25, 31.80, 0.01, 33.01, -50.26
