ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 49.42, 80.68, 6.40, -49.90, 31.42, 0.01, 6.19, 57.80
 1, 335.00, 51.68, 102.64, 1165.78, 56.38, 219.93, 4.01, 78.98, -14.38 
2, 230.00, -25.98, -32.32, 5.16, 58.60, 7.57, 0.01, 4.99, -82.64
 2, 335.00, -17.07, -32.65, 1186.77, 42.97, -17.22, 4.01, 87.77, -111.83 
3, 230.00, -46.17, 66.50, 51.47, -29.25, 3.57, 0.01, 60.21, 83.04
 3, 335.00, -56.22, 74.68, 1179.42, -98.48, 99.16, 4.01, 83.24, 44.80 
4, 230.00, 40.08, 1.17, 25.95, 53.28, -2.43, 0.01, 25.94, -92.61
 4, 335.00, 51.40, 0.81, 1184.34, 88.90, -1.70, 4.01, 85.71, -91.10 
5, 230.00, -21.88, -26.78, 57.29, 13.70, -6.88, 0.01, 75.02, -116.65
 5, 335.00, -20.66, -29.26, 1187.33, -2.17, -28.12, 4.01, 88.64, 175.59 
6, 230.00, -86.58, -44.97, 32.05, 5.24, 49.63, 0.01, 32.71, -6.03
 6, 335.00, -107.51, -48.51, 1164.96, -222.55, -62.64, 4.01, 78.77, 105.72 
7, 230.00, 20.77, -34.20, 27.72, 4.93, -52.20, 0.01, 27.86, -174.61
 7, 335.00, 22.73, -44.99, 1184.57, 21.58, -83.01, 4.01, 85.86, -165.43 
8, 230.00, -8.28, -29.90, 36.74, 17.98, 42.95, 0.01, 38.27, -22.72
 8, 335.00, -5.61, -24.02, 1187.46, 12.01, 18.99, 4.01, 88.92, -32.32 
9, 230.00, -82.53, 40.04, 16.77, -56.89, 0.30, 0.01, 16.43, 89.70
 9, 335.00, -107.84, 47.86, 1159.60, -241.72, 86.38, 4.01, 77.52, 70.33 
10, 230.00, -52.81, 70.67, 13.56, -48.25, -31.70, 0.01, 13.22, 123.31
 10, 335.00, -68.57, 75.88, 1175.33, -146.45, 87.90, 4.01, 81.73, 59.03 
11, 230.00, -26.38, -14.20, 44.35, 28.65, 27.01, 0.01, 48.40, -46.68
 11, 335.00, -22.80, -10.30, 1187.53, 6.79, 16.48, 4.01, 89.14, -22.38 
12, 230.00, 55.96, 7.99, 44.41, 39.09, 4.17, 0.01, 48.48, -83.91
 12, 335.00, 66.24, 9.22, 1183.87, 94.18, 11.91, 4.01, 85.42, -82.79 
13, 230.00, -22.40, -5.01, 4.21, 20.23, -55.59, 0.01, 4.07, -160.01
 13, 335.00, -19.92, -15.07, 1185.79, 1.12, -66.75, 4.01, 86.78, -179.04 
14, 230.00, -61.47, -12.48, 11.83, -16.87, 55.61, 0.01, 11.51, 16.88
 14, 335.00, -68.78, -3.82, 1184.06, -78.92, 48.37, 4.01, 85.53, 58.49 
15, 230.00, -59.65, 79.38, 50.79, -30.56, 2.08, 0.01, 58.90, 86.11
 15, 335.00, -85.39, 107.63, 1132.50, -235.56, 269.95, 4.01, 72.44, 41.11 
16, 230.00, 70.04, -9.12, 25.25, 52.71, -10.07, 0.01, 25.20, -100.81
 16, 335.00, 85.32, -11.65, 1178.97, 141.83, -22.00, 4.01, 83.06, -98.82 
17, 230.00, -11.09, 27.32, 55.36, 21.05, -3.14, 0.01, 68.97, -98.48
 17, 335.00, -8.07, 28.11, 1187.43, 13.68, 19.30, 4.01, 88.86, -35.32 
18, 230.00, 32.78, 3.20, 47.19, 4.51, -35.65, 0.01, 52.71, -172.78
 18, 335.00, 35.15, -2.68, 1186.74, 30.26, -35.96, 4.01, 87.73, -139.92 
19, 230.00, 29.78, 13.93, 3.55, -58.82, 6.77, 0.01, 3.43, 83.44
 19, 335.00, 20.91, 15.81, 1186.89, -38.00, 20.08, 4.01, 87.93, 62.15 
20, 230.00, 41.98, 35.84, 20.98, 47.84, 28.09, 0.01, 20.71, -59.58
 20, 335.00, 52.97, 43.04, 1182.46, 90.93, 63.78, 4.01, 84.63, -54.95 
21, 230.00, -62.90, 36.19, 15.51, -34.08, -46.00, 0.01, 15.16, 143.47
 21, 335.00, -74.28, 31.62, 1182.42, -111.28, -8.18, 4.01, 84.61, 94.20 
22, 230.00, -3.42, -26.01, 20.64, -54.17, -12.56, 0.01, 20.36, 103.06
 22, 335.00, -12.99, -29.45, 1185.58, -61.51, -34.28, 4.01, 86.60, 119.13 
23, 230.00, 66.08, -26.82, 32.42, -17.33, -46.55, 0.01, 33.13, 159.58
 23, 335.00, 68.82, -36.92, 1183.55, 55.94, -81.45, 4.01, 85.23, -145.52 
24, 230.00, 55.03, 49.35, 7.84, -21.42, -54.75, 0.01, 7.60, 158.63
 24, 335.00, 56.01, 44.19, 1187.06, 37.71, -5.16, 4.01, 88.16, -97.80 
25, 230.00, 11.31, 77.50, 59.09, -2.31, -4.58, 0.01, 85.03, 153.26
 25, 335.00, 12.07, 84.57, 1183.77, 12.12, 95.45, 4.01, 85.35, -7.24 
26, 230.00, 54.21, 78.54, 48.62, 12.71, 31.50, 0.01, 55.06, -21.97
 26, 335.00, 68.97, 101.99, 1155.32, 149.44, 231.27, 4.01, 76.59, -32.87 
27, 230.00, -55.60, 82.02, 38.81, 5.27, -44.54, 0.01, 40.87, -173.25
 27, 335.00, -71.35, 99.63, 1159.88, -161.66, 197.07, 4.01, 77.61, 39.36 
28, 230.00, 27.98, 57.13, 14.27, -46.19, 34.36, 0.01, 13.92, 53.35
 28, 335.00, 22.13, 67.22, 1183.66, -22.33, 94.88, 4.01, 85.29, 13.24 
29, 230.00, -78.26, 39.19, 47.44, -35.55, -1.83, 0.01, 53.11, 92.95
 29, 335.00, -95.69, 44.74, 1172.38, -177.72, 67.04, 4.01, 80.80, 69.33 
30, 230.00, -20.47, -9.86, 36.72, -27.91, -37.28, 0.01, 38.25, 143.18
 30, 335.00, -26.23, -16.73, 1185.76, -46.75, -48.41, 4.01, 86.75, 136.00 
31, 230.00, -77.73, 53.61, 58.18, -1.96, -11.35, 0.01, 78.80, 170.21
 31, 335.00, -93.58, 62.56, 1170.03, -174.31, 105.97, 4.01, 80.11, 58.70 
32, 230.00, 58.07, -80.55, 7.99, -6.49, 58.41, 0.01, 7.74, 6.34
 32, 335.00, 74.44, -95.59, 1162.00, 168.46, -177.77, 4.01, 78.10, -136.54 
33, 230.00, 13.68, 54.37, 8.34, 47.42, 34.64, 0.01, 8.09, -53.85
 33, 335.00, 22.80, 64.01, 1182.63, 64.36, 88.38, 4.01, 84.72, -36.06 
34, 230.00, 56.58, 41.84, 41.75, 40.06, -13.02, 0.01, 44.75, -108.01
 34, 335.00, 68.13, 43.27, 1182.22, 108.59, 33.56, 4.01, 84.51, -72.83 
35, 230.00, -46.13, -5.63, 28.84, 39.95, -33.01, 0.01, 29.09, -129.56
 35, 335.00, -41.78, -11.58, 1186.98, 6.45, -40.04, 4.01, 88.04, -170.85 
36, 230.00, -63.97, 67.99, 14.86, 55.22, 15.73, 0.01, 14.51, -74.10
 36, 335.00, -66.61, 82.82, 1175.26, -68.64, 156.80, 4.01, 81.71, 23.64 
37, 230.00, 22.86, 11.57, 18.33, 54.70, 13.76, 0.01, 18.00, -75.88
 37, 335.00, 33.47, 14.52, 1184.97, 76.48, 23.67, 4.01, 86.13, -72.81 
