ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -82.97, 13.13, 9.13, -14.72, 56.72, 0.01, 8.85, 14.55
 1, 335.00, -96.20, 24.32, 1175.47, -147.46, 84.20, 4.01, 81.78, 60.27 
2, 230.00, -11.90, 9.17, 13.76, -23.50, 52.69, 0.01, 13.41, 24.04
 2, 335.00, -16.60, 18.85, 1185.15, -37.57, 67.47, 4.01, 86.27, 29.11 
3, 230.00, 39.29, 58.87, 3.52, -17.10, -56.68, 0.01, 3.40, 163.21
 3, 335.00, 39.41, 53.72, 1187.46, 22.25, -0.63, 4.01, 88.93, -91.63 
4, 230.00, 18.97, -28.54, 49.77, 25.90, 19.24, 0.01, 57.05, -53.39
 4, 335.00, 24.29, -26.69, 1186.91, 42.55, -1.31, 4.01, 87.95, -91.77 
5, 230.00, 4.59, -29.57, 42.86, -33.77, -23.23, 0.01, 46.28, 124.53
 5, 335.00, -0.94, -34.96, 1186.25, -32.90, -47.92, 4.01, 87.19, 145.52 
6, 230.00, 3.07, 21.60, 4.09, 15.87, -57.00, 0.01, 3.95, -164.45
 6, 630.00, 13.14, 8.15, 1453.48, 32.96, -18.94, 6.01, 88.50, -119.89 
7, 230.00, 4.91, 74.04, 29.80, 51.21, -2.68, 0.01, 30.16, -93.00
 7, 335.00, 13.93, 80.39, 1182.92, 62.23, 85.98, 4.01, 84.87, -35.89 
8, 230.00, -60.05, 71.94, 27.82, -34.19, 39.68, 0.01, 27.97, 40.75
 8, 335.00, -78.70, 94.07, 1154.30, -179.90, 214.05, 4.01, 76.38, 40.05 
9, 230.00, 86.14, 10.44, 37.78, 41.19, -19.84, 0.01, 39.57, -115.72
 9, 335.00, 105.54, 8.74, 1171.33, 196.28, -4.01, 4.01, 80.49, -91.17 
10, 230.00, 25.03, 94.19, 51.52, -25.77, -14.13, 0.01, 60.30, 118.74
 10, 335.00, 27.32, 115.63, 1164.12, 37.00, 232.43, 4.01, 78.57, -9.04 
11, 230.00, 63.07, 8.31, 57.72, -13.28, 3.03, 0.01, 76.72, 77.16
 11, 335.00, 65.32, 9.40, 1186.69, 46.81, 11.35, 4.01, 87.68, -76.38 
