ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 75.43, 65.26, 41.27, -38.08, -19.08, 0.01, 44.09, 116.62
 1, 345.00, 100.28, 89.09, 1145.21, 228.81, 213.73, 4.01, 74.71, -46.95 
2, 230.00, -74.96, -2.78, 13.83, 48.06, -31.88, 0.01, 13.48, -123.55
 2, 345.00, -73.87, -8.97, 1186.39, -39.07, -38.90, 4.01, 87.34, 134.88 
3, 230.00, 67.53, 11.98, 55.67, -0.98, -20.43, 0.01, 69.83, 177.26
 3, 345.00, 73.78, 9.44, 1185.15, 76.89, -8.71, 4.01, 86.26, -96.46 
4, 230.00, 74.39, 8.48, 23.79, -24.77, -48.35, 0.01, 23.64, 152.87
 4, 345.00, 77.76, 0.50, 1185.05, 66.02, -43.13, 4.01, 86.19, -123.15 
5, 230.00, -20.98, 17.23, 11.23, -23.76, 53.17, 0.01, 10.91, 24.07
 5, 345.00, -26.79, 28.44, 1184.65, -43.49, 72.53, 4.01, 85.92, 30.95 
6, 230.00, 43.95, -85.80, 59.30, -0.45, 1.23, 0.01, 88.73, 19.92
 6, 345.00, 55.62, -108.52, 1161.76, 112.70, -219.61, 4.01, 78.00, -152.83 
7, 230.00, -12.36, -74.96, 0.98, -48.14, -34.62, 0.01, 0.95, 125.72
 7, 345.00, -22.88, -90.67, 1176.60, -71.69, -145.02, 4.01, 82.17, 153.70 
8, 230.00, -15.96, -36.86, 49.65, 23.31, 22.56, 0.01, 56.84, -45.93
 8, 345.00, -12.67, -35.01, 1187.59, 11.64, -7.23, 4.01, 89.34, -121.84 
9, 230.00, -84.13, 35.87, 11.33, -34.04, -47.23, 0.01, 11.02, 144.21
 9, 345.00, -107.37, 34.71, 1167.97, -214.39, 20.93, 4.01, 79.55, 84.43 
10, 230.00, -66.66, 52.96, 30.98, 50.33, 4.98, 0.01, 31.49, -84.35
 10, 345.00, -67.04, 61.34, 1183.35, -48.34, 88.94, 4.01, 85.11, 28.52 
11, 230.00, -19.63, -95.21, 48.78, 32.05, 10.54, 0.01, 55.33, -71.80
 11, 345.00, -19.67, -120.13, 1162.43, -16.10, -242.90, 4.01, 78.17, 176.21 
12, 230.00, 94.04, 6.08, 7.84, -58.73, 2.55, 0.01, 7.60, 87.51
 12, 345.00, 102.80, 7.76, 1180.42, 129.97, 15.62, 4.01, 83.67, -83.15 
13, 230.00, -40.80, -53.69, 56.38, 9.90, -15.51, 0.01, 71.93, -147.44
 13, 345.00, -42.85, -61.54, 1184.52, -35.84, -78.65, 4.01, 85.83, 155.50 
14, 230.00, 15.21, 45.27, 47.75, 11.08, -33.39, 0.01, 53.62, -161.64
 14, 345.00, 18.28, 42.18, 1187.39, 25.58, 3.80, 4.01, 88.75, -81.55 
15, 230.00, -11.48, 9.09, 24.75, -41.60, 34.27, 0.01, 24.66, 50.52
 15, 345.00, -20.06, 16.13, 1185.31, -57.96, 47.37, 4.01, 86.39, 50.74 
16, 230.00, -56.83, 8.93, 5.75, 59.02, -0.93, 0.01, 5.57, -90.90
