ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -54.55, -33.88, 50.63, -15.62, 26.65, 0.01, 58.62, 30.38
 1, 335.00, -61.10, -31.91, 1185.52, -71.21, -4.73, 4.01, 86.56, 93.80 
2, 230.00, -11.75, 47.23, 38.77, -32.72, -30.73, 0.01, 40.81, 133.21
 2, 335.00, -17.96, 44.65, 1186.81, -44.74, 5.08, 4.01, 87.83, 83.52 
3, 230.00, -12.34, -98.91, 58.09, 5.48, -10.62, 0.01, 78.38, -152.72
 3, 335.00, -16.75, -142.79, 1119.48, -41.80, -396.50, 4.02, 70.40, 173.98 
4, 230.00, -41.22, -83.86, 52.17, -2.79, -28.07, 0.01, 61.60, 174.32
 4, 335.00, -49.94, -105.13, 1163.84, -94.35, -217.12, 4.01, 78.50, 156.51 
5, 230.00, 25.71, -11.07, 11.02, -36.21, 45.66, 0.01, 10.70, 38.41
 5, 335.00, 20.66, -3.61, 1186.98, -9.80, 39.14, 4.01, 88.05, 14.05 
6, 230.00, -10.18, 57.48, 29.03, 6.74, 51.28, 0.01, 29.31, -7.49
 6, 335.00, -9.74, 70.20, 1182.45, -2.47, 111.19, 4.01, 84.63, 1.27 
7, 230.00, 70.33, 19.11, 5.98, -25.71, 53.11, 0.01, 5.78, 25.83
 7, 335.00, 72.10, 29.85, 1183.76, 52.85, 80.51, 4.01, 85.35, -33.28 
8, 230.00, -53.41, 63.03, 13.17, -9.28, -57.08, 0.01, 12.83, 170.77
 8, 335.00, -60.85, 60.45, 1184.43, -84.34, 24.08, 4.01, 85.76, 74.07 
9, 230.00, -2.66, 42.48, 23.39, 51.83, 16.88, 0.01, 23.22, -71.96
 9, 335.00, 6.12, 47.66, 1185.33, 53.76, 51.60, 4.01, 86.40, -46.17 
10, 230.00, -0.55, 74.08, 35.97, 34.89, -31.73, 0.01, 37.33, -132.29
 10, 335.00, 5.21, 75.23, 1186.01, 37.60, 50.17, 4.01, 86.97, -36.85 
11, 230.00, -23.78, 11.48, 46.74, 35.70, -7.66, 0.01, 52.01, -102.12
 11, 335.00, -18.89, 10.75, 1187.60, 13.14, 4.57, 4.01, 89.33, -70.82 
12, 230.00, 72.67, 25.94, 5.75, -29.75, 50.99, 0.01, 5.57, 30.26
 12, 335.00, 74.75, 37.14, 1182.85, 58.91, 89.17, 4.01, 84.84, -33.45 
13, 230.00, -49.29, 45.90, 41.36, 3.62, -42.35, 0.01, 44.21, -175.11
 13, 335.00, -52.36, 42.25, 1186.78, -45.97, 0.40, 4.01, 87.78, 89.50 
14, 230.00, 47.69, 60.37, 43.17, 14.71, -37.91, 0.01, 46.72, -158.80
 14, 335.00, 54.65, 59.86, 1184.84, 75.06, 32.89, 4.01, 86.04, -66.34 
