ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -41.14, -4.45, 9.95, -57.69, -9.50, 0.01, 9.65, 99.36
 1, 425.00, -68.08, -8.41, 1180.55, -128.61, -17.86, 4.01, 83.72, 97.91 
2, 230.00, 67.44, 20.23, 8.76, -12.22, 57.37, 0.01, 8.49, 12.02
 2, 425.00, 81.61, 43.73, 1178.48, 102.91, 105.58, 4.01, 82.87, -44.27 
3, 230.00, -23.43, -11.69, 21.68, -1.78, 55.18, 0.01, 21.44, 1.85
 3, 425.00, -28.23, 3.81, 1186.08, -34.11, 51.14, 4.01, 87.03, 33.70 
4, 230.00, 33.89, 61.67, 2.02, 34.14, -48.46, 0.01, 1.95, -144.83
 4, 425.00, 53.39, 62.18, 1182.64, 99.31, 45.47, 4.01, 84.72, -65.40 
5, 230.00, 54.41, -72.23, 55.58, -10.41, 17.88, 0.01, 69.58, 30.21
 5, 425.00, 73.16, -95.93, 1172.14, 117.53, -151.07, 4.01, 80.73, -142.12 
6, 230.00, 35.98, 88.90, 48.06, -34.75, 0.22, 0.01, 54.13, 89.63
 6, 425.00, 44.78, 135.96, 1156.55, 63.67, 262.50, 4.01, 76.85, -13.63 
7, 230.00, 5.04, -7.75, 55.78, -16.85, 11.05, 0.01, 70.14, 56.75
 7, 630.00, -1.41, -5.56, 1453.92, -13.38, 0.42, 6.01, 89.47, 88.22 
8, 230.00, -36.77, -33.42, 2.23, -59.24, -1.89, 0.01, 2.15, 91.83
 8, 425.00, -63.83, -41.30, 1179.70, -127.03, -52.27, 4.01, 83.36, 112.37 
9, 230.00, 85.35, -18.68, 51.51, 24.56, 16.16, 0.01, 60.28, -56.66
 9, 425.00, 125.90, -21.09, 1165.30, 228.20, -23.62, 4.01, 78.86, -95.91 
10, 230.00, -5.08, -32.41, 52.34, -1.52, -27.86, 0.01, 61.93, 176.88
 10, 425.00, -6.51, -47.16, 1185.14, -8.67, -76.98, 4.01, 86.26, 173.58 
11, 230.00, 17.51, 83.13, 33.86, 48.69, 0.14, 0.01, 34.82, -89.84
 11, 425.00, 38.63, 113.06, 1169.51, 98.03, 182.18, 4.01, 79.97, -28.29 
12, 230.00, 1.68, 74.55, 48.49, -30.79, -14.79, 0.01, 54.84, 115.65
 12, 425.00, -7.24, 90.61, 1181.50, -34.32, 115.90, 4.01, 84.16, 16.50 
13, 230.00, -0.94, -90.64, 41.84, 26.17, -32.90, 0.01, 44.86, -141.49
 13, 425.00, 6.53, -141.05, 1155.35, 29.70, -273.59, 4.01, 76.60, -173.80 
14, 230.00, 89.13, -22.22, 55.61, -16.64, -12.18, 0.01, 69.65, 126.20
 14, 425.00, 122.46, -35.36, 1167.88, 203.99, -70.78, 4.01, 79.53, -109.14 
15, 230.00, 47.90, 61.81, 56.19, -5.08, 18.30, 0.01, 71.32, 15.52
 15, 425.00, 60.95, 86.16, 1176.02, 86.38, 141.67, 4.01, 81.97, -31.37 
16, 230.00, -85.64, 6.27, 51.04, -2.76, -30.09, 0.01, 59.38, 174.76
 16, 425.00, -117.34, -0.51, 1171.88, -191.63, -22.94, 4.01, 80.65, 96.83 
17, 230.00, -29.21, 71.48, 16.43, 56.90, 3.11, 0.01, 16.08, -86.87
 17, 425.00, -20.00, 93.20, 1179.63, 15.19, 137.11, 4.01, 83.33, -6.32 
18, 230.00, 53.51, 66.80, 12.35, 56.86, -11.49, 0.01, 12.01, -101.43
 18, 425.00, 91.35, 88.52, 1164.01, 191.70, 137.46, 4.01, 78.54, -54.36 
19, 230.00, -12.47, 3.45, 25.60, -50.27, 18.32, 0.01, 25.57, 69.98
 19, 425.00, -30.72, 9.91, 1184.86, -77.21, 26.69, 4.01, 86.06, 70.93 
20, 230.00, 60.45, -39.20, 10.06, -56.09, -16.44, 0.01, 9.77, 106.33
 20, 425.00, 58.51, -54.51, 1183.95, 34.98, -87.15, 4.01, 85.46, -158.13 
21, 230.00, 30.27, 12.38, 39.60, 41.14, -16.03, 0.01, 41.89, -111.29
 21, 425.00, 48.91, 9.67, 1184.23, 90.23, -2.49, 4.01, 85.64, -91.58 
22, 230.00, -3.06, -49.20, 44.21, 0.54, -39.54, 0.01, 48.19, -179.22
 22, 425.00, -3.55, -72.01, 1181.57, -3.87, -120.13, 4.01, 84.19, 178.16 
23, 230.00, -65.20, 71.92, 22.59, -11.51, 53.62, 0.01, 22.39, 12.12
 23, 425.00, -112.05, 136.02, 1120.41, -238.72, 313.60, 4.01, 70.62, 37.28 
24, 230.00, -70.18, 44.54, 47.13, 34.64, 9.84, 0.01, 52.62, -74.15
 24, 425.00, -82.46, 61.93, 1178.99, -100.31, 102.41, 4.01, 83.07, 44.41 
25, 230.00, -68.16, 36.20, 24.83, 52.91, 10.07, 0.01, 24.75, -79.22
 25, 425.00, -70.94, 49.45, 1183.60, -59.45, 78.12, 4.01, 85.26, 37.27 
26, 230.00, -41.30, 42.22, 39.09, 42.76, 12.70, 0.01, 41.22, -73.47
 26, 425.00, -37.23, 55.58, 1184.93, -11.55, 79.83, 4.01, 86.11, 8.23 
27, 230.00, 42.79, -32.19, 15.73, 52.90, 21.71, 0.01, 15.38, -67.69
 27, 425.00, 69.11, -32.44, 1180.40, 129.22, -22.58, 4.01, 83.66, -99.91 
28, 230.00, -65.92, 36.56, 27.09, -52.27, 7.18, 0.01, 27.17, 82.18
 28, 425.00, -102.42, 50.02, 1169.39, -191.71, 79.59, 4.01, 79.93, 67.45 
29, 230.00, 17.33, -42.30, 21.30, 55.34, -0.89, 0.01, 21.05, -90.92
 29, 425.00, 38.47, -51.29, 1182.51, 91.70, -61.80, 4.01, 84.66, -123.98 
30, 230.00, -19.20, -44.35, 3.92, 5.75, -58.90, 0.01, 3.78, -174.42
 30, 425.00, -21.50, -72.88, 1179.48, -21.55, -137.54, 4.01, 83.27, 171.09 
31, 230.00, 38.73, -36.92, 46.30, -30.69, 20.78, 0.01, 51.32, 55.90
 31, 425.00, 37.28, -38.16, 1187.16, 19.44, -28.71, 4.01, 88.33, -145.90 
32, 230.00, 0.94, -71.50, 37.65, -5.36, 45.51, 0.01, 39.40, 6.72
 32, 425.00, -0.47, -75.63, 1185.86, -4.90, -65.43, 4.01, 86.83, 175.72 
33, 230.00, 74.96, 7.39, 51.25, 24.07, 17.66, 0.01, 59.78, -53.74
 33, 425.00, 104.36, 14.95, 1174.88, 170.21, 35.36, 4.01, 81.58, -78.26 
34, 230.00, 15.41, 69.52, 51.71, -28.53, -5.38, 0.01, 60.69, 100.68
