ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -36.87, 9.90, 47.62, 27.88, -21.75, 0.01, 53.40, -127.96
 1, 325.00, -34.05, 6.95, 1187.55, 3.92, -16.25, 4.01, 89.19, -166.45 
2, 230.00, 22.38, 71.32, 2.07, 1.75, -59.25, 0.01, 2.00, -178.31
 2, 325.00, 24.21, 67.12, 1187.37, 24.91, 9.15, 4.01, 88.72, -69.84 
3, 230.00, -57.02, -21.94, 18.24, 49.07, -27.88, 0.01, 17.91, -119.61
 3, 325.00, -52.41, -27.42, 1186.69, 5.78, -47.84, 4.01, 87.67, -173.11 
4, 230.00, 48.17, -64.46, 47.11, -28.12, -22.52, 0.01, 52.59, 128.69
 4, 325.00, 48.36, -73.64, 1182.39, 31.20, -107.43, 4.01, 84.60, -163.80 
5, 230.00, 8.40, -84.73, 41.70, -19.63, 37.33, 0.01, 44.68, 27.73
 5, 325.00, 6.35, -87.73, 1185.14, -9.83, -76.81, 4.01, 86.26, 172.71 
6, 230.00, -22.45, 71.32, 50.41, 1.12, -31.22, 0.01, 58.21, -177.95
 6, 325.00, -23.91, 71.82, 1186.70, -22.72, 42.27, 4.01, 87.68, 28.26 
7, 230.00, -78.35, -20.82, 16.74, -2.65, -56.84, 0.01, 16.39, 177.33
 7, 325.00, -86.28, -31.44, 1179.25, -108.38, -90.47, 4.01, 83.17, 129.85 
8, 230.00, -53.59, 78.03, 13.93, -18.62, 54.56, 0.01, 13.59, 18.84
 8, 325.00, -67.28, 101.99, 1151.40, -150.23, 249.60, 4.01, 75.80, 31.04 
9, 230.00, -70.08, -2.19, 8.36, 7.11, -58.29, 0.01, 8.11, -173.05
 9, 325.00, -73.68, -11.37, 1184.22, -62.59, -65.31, 4.01, 85.63, 136.22 
10, 230.00, 66.55, -47.66, 54.10, 2.38, -24.20, 0.01, 65.80, -174.39
 10, 325.00, 73.37, -55.86, 1180.47, 93.23, -91.38, 4.01, 83.69, -134.42 
11, 230.00, 28.56, 79.66, 12.46, 36.89, 44.74, 0.01, 12.12, -39.51
 11, 325.00, 37.50, 95.81, 1171.42, 86.14, 175.80, 4.01, 80.51, -26.10 
12, 230.00, -18.81, 47.22, 54.98, -21.68, -4.94, 0.01, 67.98, 102.83
 12, 325.00, -22.95, 48.64, 1186.73, -36.92, 29.59, 4.01, 87.72, 51.29 
13, 230.00, -87.00, -8.58, 44.68, -1.39, -38.98, 0.01, 48.87, 177.95
 13, 325.00, -97.61, -15.31, 1177.91, -141.00, -56.75, 4.01, 82.65, 111.92 
