ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 89.94, -1.58, 38.21, -0.98, -45.35, 0.01, 40.11, 178.76
 1, 325.00, 101.85, -8.41, 1176.11, 156.51, -52.98, 4.01, 82.00, -108.70 
2, 230.00, 18.93, -45.50, 54.99, 4.70, 21.71, 0.01, 68.00, -12.20
 2, 325.00, 20.47, -44.21, 1187.49, 18.54, -9.52, 4.01, 88.99, -117.18 
3, 230.00, -1.97, -88.33, 37.31, 43.95, 13.91, 0.01, 38.99, -72.44
 3, 325.00, 4.24, -96.93, 1180.00, 45.33, -126.88, 4.01, 83.49, -160.34 
4, 230.00, 72.91, -2.52, 46.08, 37.10, -4.26, 0.01, 50.98, -96.55
 4, 325.00, 84.04, -3.35, 1181.36, 122.04, -7.45, 4.01, 84.09, -93.49 
5, 230.00, 70.26, 32.70, 55.58, -2.26, -20.56, 0.01, 69.59, 173.73
 5, 325.00, 75.58, 32.29, 1184.90, 79.54, 15.84, 4.01, 86.08, -78.73 
6, 230.00, 58.03, -15.35, 25.79, 21.21, -49.02, 0.01, 25.77, -156.60
 6, 325.00, 64.56, -23.78, 1183.56, 73.32, -66.02, 4.01, 85.23, -132.00 
7, 230.00, 52.11, 72.19, 50.26, -15.92, -27.17, 0.01, 57.92, 149.63
 7, 325.00, 56.05, 76.91, 1182.71, 66.10, 85.95, 4.01, 84.76, -37.56 
8, 230.00, -43.83, -28.85, 56.67, -12.83, -11.91, 0.01, 72.84, 132.86
 8, 325.00, -47.86, -32.02, 1186.23, -46.99, -34.61, 4.01, 87.18, 126.37 
9, 230.00, -9.02, -48.67, 11.79, -47.14, 34.00, 0.01, 11.46, 54.20
 9, 325.00, -16.83, -45.48, 1186.31, -56.72, 1.28, 4.01, 87.26, 88.71 
10, 230.00, -30.56, 76.45, 6.29, -56.86, -15.67, 0.01, 6.08, 105.41
 10, 325.00, -42.24, 81.61, 1179.79, -104.60, 87.84, 4.01, 83.40, 49.98 
11, 230.00, 73.73, 58.75, 39.72, -29.63, -32.59, 0.01, 42.04, 137.73
 11, 325.00, 81.13, 63.37, 1179.41, 114.01, 80.87, 4.01, 83.24, -54.65 
12, 230.00, 70.21, -37.41, 3.05, -42.75, 41.00, 0.01, 2.94, 46.20
 12, 325.00, 69.26, -34.11, 1187.17, 34.26, 1.59, 4.01, 88.35, -87.35 
13, 230.00, -62.60, 62.79, 42.08, 2.04, -41.75, 0.01, 45.19, -177.20
 13, 325.00, -69.71, 64.12, 1182.48, -97.06, 53.63, 4.01, 84.64, 61.08 
14, 230.00, 3.67, 77.45, 31.67, -43.92, -24.20, 0.01, 32.27, 118.86
 14, 325.00, -2.65, 79.93, 1185.22, -43.52, 62.58, 4.01, 86.32, 34.82 
15, 230.00, -80.50, 16.15, 20.43, 52.92, -17.31, 0.01, 20.15, -108.12
 15, 325.00, -79.55, 14.95, 1186.93, -41.88, 1.09, 4.01, 87.98, 88.51 
16, 230.00, -18.08, 31.69, 11.89, -14.93, 56.16, 0.01, 11.56, 14.89
 16, 325.00, -21.17, 41.84, 1184.56, -28.10, 81.15, 4.01, 85.85, 19.10 
17, 230.00, -81.78, -56.98, 32.71, 44.36, -21.91, 0.01, 33.47, -116.29
 17, 325.00, -103.22, -79.30, 1140.47, -241.30, -227.24, 4.01, 73.79, 133.28 
18, 230.00, -51.56, -17.52, 57.62, -2.24, 13.89, 0.01, 76.28, 9.17
 18, 325.00, -54.38, -16.27, 1186.93, -41.93, 1.34, 4.01, 87.98, 88.16 
19, 230.00, -13.15, -30.74, 23.02, -40.01, -37.24, 0.01, 22.84, 132.95
 19, 325.00, -19.93, -37.78, 1185.04, -51.31, -60.13, 4.01, 86.18, 139.52 
20, 230.00, -70.63, 70.63, 8.47, 58.57, 3.95, 0.01, 8.21, -86.14
