ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -19.89, 30.88, 10.69, 40.95, 41.55, 0.01, 10.38, -44.58
 1, 345.00, -13.34, 40.75, 1185.18, 27.85, 71.68, 4.01, 86.29, -21.23 
2, 230.00, -67.61, 61.33, 48.11, -25.74, -23.25, 0.01, 54.21, 132.10
 2, 345.00, -85.32, 69.24, 1171.92, -166.10, 97.87, 4.01, 80.66, 59.49 
3, 230.00, -36.41, 91.02, 24.57, -38.57, 37.77, 0.01, 24.48, 45.60
 3, 345.00, -56.38, 130.68, 1128.48, -160.45, 334.02, 4.01, 71.82, 25.66 
4, 230.00, 19.91, 34.21, 3.01, 44.44, -39.16, 0.01, 2.91, -131.39
 4, 345.00, 29.70, 28.88, 1185.77, 65.74, -13.50, 4.01, 86.76, -101.61 
5, 230.00, 1.17, 99.90, 48.57, 22.53, -25.52, 0.01, 54.97, -138.57
 5, 345.00, 5.64, 146.77, 1120.99, 30.53, 390.60, 4.01, 70.74, -4.47 
6, 230.00, 11.39, -66.92, 42.12, -39.87, -12.41, 0.01, 45.25, 107.29
 6, 345.00, 5.20, -75.58, 1183.76, -30.90, -91.21, 4.01, 85.35, 161.29 
7, 230.00, 82.01, 14.60, 1.39, -59.25, -2.35, 0.01, 1.34, 92.27
 7, 345.00, 81.57, 16.03, 1186.37, 52.31, 18.53, 4.01, 87.32, -70.50 
8, 230.00, 47.92, 22.59, 5.78, -38.85, -44.44, 0.01, 5.59, 138.84
 8, 345.00, 43.91, 15.74, 1187.34, 1.19, -28.08, 4.01, 88.64, -177.58 
9, 230.00, -16.29, -50.99, 20.64, -47.72, 28.55, 0.01, 20.36, 59.11
 9, 345.00, -26.45, -49.40, 1185.62, -67.69, -16.86, 4.01, 86.63, 103.98 
10, 230.00, 32.38, 38.51, 23.16, -43.37, 33.17, 0.01, 22.98, 52.58
 10, 345.00, 26.56, 47.49, 1185.37, -17.62, 71.81, 4.01, 86.43, 13.79 
11, 230.00, 32.82, -69.38, 29.50, -13.62, -49.62, 0.01, 29.82, 164.65
 11, 345.00, 34.41, -87.06, 1177.16, 31.49, -154.47, 4.01, 82.37, -168.48 
12, 230.00, -21.29, -16.10, 6.36, -18.29, -56.06, 0.01, 6.16, 161.94
 12, 345.00, -26.09, -27.84, 1184.70, -37.83, -74.85, 4.01, 85.95, 153.19 
13, 230.00, 44.49, 54.61, 20.25, 49.05, -26.49, 0.01, 19.96, -118.37
 13, 345.00, 58.13, 55.28, 1182.08, 108.89, 37.20, 4.01, 84.44, -71.14 
14, 230.00, -15.46, 54.59, 23.29, 52.52, -14.71, 0.01, 23.12, -105.65
 14, 345.00, -6.82, 55.99, 1186.34, 42.71, 36.50, 4.01, 87.29, -49.48 
15, 230.00, -19.47, 43.69, 53.13, -23.13, -12.62, 0.01, 63.62, 118.61
 15, 345.00, -25.06, 44.39, 1186.63, -42.70, 25.49, 4.01, 87.60, 59.17 
16, 230.00, -52.19, 54.04, 40.52, -18.77, -39.03, 0.01, 43.09, 154.32
 16, 345.00, -61.29, 52.86, 1184.12, -87.98, 26.09, 4.01, 85.57, 73.48 
17, 230.00, -17.15, 32.30, 24.31, 3.42, 53.99, 0.01, 24.20, -3.62
 17, 345.00, -17.61, 44.56, 1184.46, -10.92, 86.49, 4.01, 85.79, 7.20 
18, 230.00, 6.36, -64.84, 18.80, -43.95, -35.11, 0.01, 18.48, 128.62
 18, 345.00, -1.24, -77.49, 1181.53, -41.46, -113.20, 4.01, 84.17, 159.88 
19, 230.00, -38.39, -40.52, 2.19, 58.42, 10.00, 0.01, 2.12, -80.29
 19, 345.00, -30.10, -41.60, 1187.03, 28.04, -27.13, 4.01, 88.12, -134.06 
20, 230.00, -25.99, 88.51, 25.07, -2.38, 53.70, 0.01, 25.01, 2.54
 20, 345.00, -32.38, 118.39, 1156.57, -61.89, 262.84, 4.01, 76.86, 13.25 
21, 230.00, -21.73, 35.39, 6.83, -46.94, 35.60, 0.01, 6.62, 52.83
 21, 345.00, -32.17, 44.60, 1183.47, -70.70, 70.41, 4.01, 85.18, 45.12 
22, 230.00, 19.42, -34.85, 4.20, -49.32, -32.67, 0.01, 4.06, 123.51
 22, 345.00, 11.23, -43.36, 1185.26, -37.26, -65.73, 4.01, 86.35, 150.45 
23, 230.00, 39.85, -77.47, 45.46, 7.39, -37.37, 0.01, 50.04, -168.82
 23, 345.00, 48.04, -97.48, 1170.38, 81.60, -184.68, 4.01, 80.21, -156.16 
24, 230.00, 77.81, -53.59, 24.67, -38.83, -37.44, 0.01, 24.58, 133.95
 24, 345.00, 88.91, -72.48, 1168.34, 134.44, -165.76, 4.01, 79.65, -140.96 
25, 230.00, -4.69, -89.50, 34.91, 22.53, -42.33, 0.01, 36.06, -151.98
 25, 345.00, -1.60, -114.49, 1165.35, 16.15, -228.59, 4.01, 78.88, -175.96 
26, 230.00, -71.44, -61.67, 23.18, 53.46, 11.06, 0.01, 23.01, -78.31
 26, 345.00, -77.14, -72.72, 1177.93, -92.85, -120.03, 4.01, 82.66, 142.27 
27, 230.00, 40.27, 44.18, 9.33, 23.01, 53.86, 0.01, 9.05, -23.14
 27, 345.00, 48.16, 58.24, 1180.74, 69.28, 107.70, 4.01, 83.81, -32.75 
28, 230.00, 46.64, -22.80, 8.24, -34.31, -47.67, 0.01, 7.99, 144.26
 28, 345.00, 43.52, -33.50, 1185.38, 5.83, -73.55, 4.01, 86.44, -175.47 
29, 230.00, 2.55, 90.87, 32.00, -46.08, 19.25, 0.01, 32.65, 67.33
 29, 345.00, -5.11, 112.34, 1168.36, -47.17, 208.04, 4.01, 79.65, 12.78 
30, 230.00, 1.15, 69.03, 55.27, -19.09, -9.94, 0.01, 68.73, 117.51
 30, 345.00, -2.19, 73.82, 1185.51, -19.73, 68.82, 4.01, 86.54, 16.00 
31, 230.00, -55.74, 39.98, 31.11, 48.30, 14.73, 0.01, 31.64, -73.04
 31, 345.00, -52.01, 46.39, 1186.05, -9.42, 61.30, 4.01, 87.01, 8.73 
32, 230.00, 39.62, -90.51, 14.66, 32.74, 47.23, 0.01, 14.32, -34.73
 32, 345.00, 58.24, -112.16, 1156.57, 157.13, -219.59, 4.01, 76.86, -144.41 
33, 230.00, -18.63, 44.43, 7.23, 6.24, -58.54, 0.01, 7.00, -173.92
 33, 345.00, -18.68, 36.25, 1187.37, -9.68, -24.73, 4.01, 88.72, 158.62 
34, 230.00, 70.06, -62.16, 52.83, -13.52, 23.31, 0.01, 62.97, 30.12
 34, 345.00, 82.43, -71.19, 1175.13, 134.95, -106.93, 4.01, 81.66, -128.39 
35, 230.00, 28.21, -12.96, 21.90, 51.50, 19.65, 0.01, 21.67, -69.11
 35, 345.00, 39.69, -10.03, 1184.93, 79.86, 10.59, 4.01, 86.11, -82.44 
36, 230.00, -32.02, 15.81, 29.14, 26.56, 44.30, 0.01, 29.43, -30.95
 36, 345.00, -29.02, 25.12, 1186.06, 1.74, 61.86, 4.01, 87.01, -1.61 
