ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -69.76, -49.89, 10.96, 32.84, 48.16, 0.01, 10.65, -34.29
 1, 345.00, -73.54, -48.11, 1185.27, -71.70, -23.49, 4.01, 86.36, 108.14 
2, 230.00, -43.21, 62.78, 12.82, 46.60, -34.37, 0.01, 12.49, -126.41
 2, 345.00, -39.18, 63.07, 1186.98, -2.14, 40.21, 4.01, 88.06, 3.04 
3, 230.00, -28.60, 20.45, 56.99, 5.74, -15.38, 0.01, 73.93, -159.55
 3, 345.00, -29.29, 18.87, 1187.53, -18.34, 0.81, 4.01, 89.11, 87.48 
4, 230.00, -90.48, 1.57, 29.53, -37.88, 34.79, 0.01, 29.86, 47.43
 4, 345.00, -115.59, 8.08, 1164.17, -231.16, 42.88, 4.01, 78.58, 79.49 
5, 230.00, 43.78, -84.21, 51.23, -26.48, -13.86, 0.01, 59.74, 117.63
 5, 345.00, 49.74, -106.85, 1165.55, 73.89, -215.76, 4.01, 78.93, -161.10 
6, 230.00, 28.82, -54.63, 23.29, 14.16, -52.67, 0.01, 23.12, -164.95
 6, 345.00, 34.08, -69.41, 1180.71, 47.78, -119.16, 4.01, 83.79, -158.15 
7, 230.00, -97.23, 17.44, 30.32, 38.20, -33.75, 0.01, 30.74, -131.46
 7, 345.00, -121.45, 17.23, 1162.60, -242.39, 12.85, 4.01, 78.21, 86.97 
8, 230.00, -45.30, -56.33, 14.77, 22.08, -53.03, 0.01, 14.42, -157.39
 8, 345.00, -46.16, -72.34, 1179.84, -33.73, -131.87, 4.01, 83.42, 165.65 
9, 230.00, 76.76, -11.95, 6.42, -58.91, 2.36, 0.01, 6.21, 87.71
 9, 345.00, 74.22, -12.82, 1187.16, 32.50, -12.67, 4.01, 88.32, -111.29 
10, 230.00, 8.65, -66.41, 50.52, -6.25, -30.44, 0.01, 58.41, 168.40
 10, 345.00, 8.34, -78.34, 1182.45, 3.19, -111.23, 4.01, 84.62, -178.36 
11, 230.00, -42.11, 34.31, 55.03, 20.92, -7.22, 0.01, 68.09, -109.03
 11, 345.00, -41.38, 35.51, 1187.30, -16.78, 24.40, 4.01, 88.57, 34.51 
12, 230.00, -11.95, -88.07, 7.83, 56.78, 15.26, 0.01, 7.59, -74.96
 12, 345.00, -3.70, -100.07, 1178.48, 42.93, -141.04, 4.01, 82.87, -163.07 
13, 230.00, 0.86, -50.63, 11.49, 55.76, 16.61, 0.01, 11.17, -73.41
 13, 345.00, 11.48, -51.09, 1185.72, 61.89, -28.24, 4.01, 86.72, -114.52 
14, 230.00, 47.04, -48.38, 46.38, -34.63, -12.95, 0.01, 51.44, 110.50
 14, 345.00, 45.07, -55.19, 1185.59, 14.68, -68.66, 4.01, 86.61, -167.93 
15, 230.00, -28.17, 1.82, 53.97, 11.65, 21.65, 0.01, 65.51, -28.28
 15, 345.00, -27.70, 5.93, 1187.32, -13.00, 25.57, 4.01, 88.62, 26.94 
16, 230.00, 3.93, -59.51, 36.05, 21.91, -41.69, 0.01, 37.43, -152.27
 16, 345.00, 8.32, -72.33, 1182.28, 28.35, -109.40, 4.01, 84.54, -165.47 
17, 230.00, -9.84, 86.72, 52.35, 0.72, 27.87, 0.01, 61.96, -1.48
 17, 345.00, -11.39, 106.41, 1172.35, -17.11, 189.40, 4.01, 80.79, 5.16 
18, 230.00, 59.73, -41.39, 54.16, -15.39, -18.64, 0.01, 65.95, 140.46
 18, 345.00, 63.20, -49.06, 1184.10, 57.20, -72.10, 4.01, 85.56, -141.57 
19, 230.00, 19.58, -65.15, 32.81, -16.17, 46.68, 0.01, 33.59, 19.11
 19, 345.00, 18.35, -62.38, 1187.50, 3.56, -19.73, 4.01, 89.03, -169.76 
20, 230.00, -16.53, 63.30, 35.23, -14.16, 45.57, 0.01, 36.44, 17.26
 20, 345.00, -20.72, 77.79, 1180.62, -34.98, 124.38, 4.01, 83.75, 15.71 
21, 230.00, -63.81, -49.94, 53.49, -20.48, -15.40, 0.01, 64.40, 126.94
 21, 345.00, -76.14, -59.48, 1177.80, -120.67, -93.74, 4.01, 82.61, 127.84 
22, 230.00, 9.87, -44.50, 6.51, 36.52, 46.28, 0.01, 6.31, -38.27
 22, 345.00, 17.49, -38.61, 1186.62, 48.65, 11.63, 4.01, 87.59, -76.56 
23, 230.00, -4.50, -8.76, 19.83, -55.62, 5.52, 0.01, 19.54, 84.34
 23, 630.00, -35.21, -11.59, 1450.82, -94.42, -16.54, 6.01, 86.22, 99.93 
24, 230.00, 79.02, 40.09, 45.89, -35.50, -12.31, 0.01, 50.69, 109.12
 24, 345.00, 85.42, 44.34, 1182.35, 97.37, 55.81, 4.01, 84.58, -60.18 
25, 230.00, -48.44, -8.89, 6.18, -31.37, -49.95, 0.01, 5.99, 147.87
 25, 345.00, -57.98, -19.06, 1183.27, -80.15, -63.26, 4.01, 85.07, 128.28 
26, 230.00, 38.11, -60.13, 35.65, 44.96, -15.02, 0.01, 36.95, -108.47
 26, 345.00, 50.44, -69.34, 1179.90, 98.53, -93.20, 4.01, 83.44, -133.41 
27, 230.00, -44.58, 39.32, 44.69, -36.78, -12.94, 0.01, 48.89, 109.39
