ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 90.76, 21.63, 51.23, -20.85, -21.40, 0.01, 59.75, 135.75
 1, 325.00, 101.71, 21.89, 1177.51, 153.82, 18.44, 4.01, 82.51, -83.16 
2, 230.00, -16.90, -14.63, 50.80, -15.83, 26.20, 0.01, 58.93, 31.13
 2, 325.00, -20.01, -11.17, 1187.06, -35.04, 14.14, 4.01, 88.18, 68.02 
3, 230.00, 33.39, 75.08, 0.66, 32.92, 49.33, 0.01, 0.63, -33.72
 3, 325.00, 42.05, 90.76, 1172.89, 85.92, 165.85, 4.01, 80.95, -27.39 
4, 230.00, 33.19, -54.83, 47.87, -30.81, 16.63, 0.01, 53.82, 61.64
 4, 325.00, 30.40, -55.39, 1187.29, -4.32, -29.54, 4.01, 88.56, 171.68 
5, 230.00, -42.47, -46.92, 5.14, -59.08, -0.56, 0.01, 4.98, 90.54
 5, 325.00, -54.31, -49.87, 1182.32, -103.43, -44.38, 4.01, 84.56, 113.22 
6, 230.00, 0.41, 38.22, 19.07, 3.83, -56.03, 0.01, 18.75, -176.09
 6, 325.00, 1.03, 30.93, 1187.23, 4.41, -32.00, 4.01, 88.44, -172.15 
7, 230.00, 11.91, 41.59, 58.01, -9.40, 8.03, 0.01, 77.97, 49.51
 7, 325.00, 10.97, 44.53, 1187.09, -1.76, 37.20, 4.01, 88.20, 2.71 
8, 230.00, -30.20, 4.19, 38.03, -26.77, 36.81, 0.01, 39.89, 36.03
 8, 325.00, -35.51, 10.05, 1185.91, -48.98, 42.01, 4.01, 86.89, 49.38 
9, 230.00, -55.97, 14.71, 15.60, -24.53, -51.70, 0.01, 15.25, 154.62
 9, 325.00, -62.73, 7.43, 1184.68, -72.29, -43.32, 4.01, 85.93, 120.93 
10, 230.00, -41.28, -17.84, 8.99, -5.60, -58.36, 0.01, 8.72, 174.51
 10, 325.00, -43.97, -27.82, 1184.78, -35.34, -74.87, 4.01, 86.00, 154.73 
11, 230.00, -18.98, 94.26, 9.63, 2.45, 58.47, 0.01, 9.35, -2.40
 11, 325.00, -23.06, 124.86, 1143.57, -47.83, 317.12, 4.01, 74.33, 8.58 
12, 230.00, -78.64, 41.67, 56.26, 8.46, 16.76, 0.01, 71.55, -26.78
 12, 325.00, -87.40, 49.38, 1177.97, -122.85, 88.52, 4.01, 82.68, 54.23 
13, 230.00, -18.50, 21.40, 41.50, 35.72, 22.78, 0.01, 44.41, -57.47
 13, 325.00, -13.68, 25.74, 1186.72, 24.36, 40.83, 4.01, 87.71, -30.83 
14, 230.00, -33.24, -67.83, 46.02, -29.13, 23.48, 0.01, 50.89, 51.13
 14, 325.00, -40.13, -69.51, 1184.60, -68.79, -50.47, 4.01, 85.88, 126.27 
15, 230.00, 30.63, 39.71, 44.28, 20.68, 33.61, 0.01, 48.29, -31.61
