ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 49.02, -9.59, 50.53, 16.42, -26.36, 0.01, 58.42, -148.08
 1, 425.00, 64.45, -19.78, 1183.26, 91.49, -45.69, 4.01, 85.06, -116.54 
2, 230.00, -64.17, 64.04, 31.44, 0.85, 50.29, 0.01, 32.01, -0.96
 2, 425.00, -92.89, 108.21, 1153.85, -165.24, 227.81, 4.01, 76.29, 35.95 
3, 230.00, 16.42, 26.52, 35.37, 18.53, 43.85, 0.01, 36.61, -22.90
 3, 425.00, 25.37, 45.37, 1183.54, 44.41, 88.44, 4.01, 85.22, -26.66 
4, 230.00, -0.82, -6.58, 8.45, -13.13, 57.22, 0.01, 8.20, 12.92
 4, 630.00, -8.22, 21.00, 1452.34, -19.60, 66.28, 6.01, 87.28, 16.47 
5, 230.00, 4.40, -37.99, 0.73, 50.12, -31.70, 0.01, 0.71, -122.31
 5, 425.00, 21.49, -55.75, 1182.27, 66.84, -91.30, 4.01, 84.53, -143.79 
6, 230.00, 6.34, -13.48, 57.55, 13.14, 5.77, 0.01, 76.00, -66.28
 6, 630.00, 16.08, -16.69, 1453.57, 29.76, -17.60, 6.01, 88.64, -120.60 
7, 230.00, -13.74, -90.80, 43.17, -16.33, 37.25, 0.01, 46.71, 23.67
 7, 425.00, -24.28, -117.41, 1173.08, -53.73, -177.66, 4.01, 81.01, 163.17 
8, 230.00, -2.22, -32.98, 16.87, -55.98, 9.95, 0.01, 16.52, 79.92
 8, 425.00, -20.54, -35.96, 1185.13, -70.50, -32.47, 4.01, 86.25, 114.73 
9, 230.00, 25.36, 24.65, 39.16, -44.52, 1.40, 0.01, 41.32, 88.19
 9, 425.00, 16.09, 29.67, 1186.99, -19.08, 35.24, 4.01, 88.07, 28.43 
10, 230.00, 58.93, -24.36, 35.41, -41.95, 22.45, 0.01, 36.65, 61.85
 10, 425.00, 59.41, -22.97, 1186.90, 41.27, -10.89, 4.01, 87.94, -104.77 
