ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 34.07, 58.53, 59.02, -4.99, -3.03, 0.01, 84.35, 121.24
 1, 345.00, 36.35, 63.44, 1185.52, 33.22, 63.19, 4.01, 86.55, -27.73 
2, 230.00, -38.00, -29.87, 46.01, -7.41, 36.68, 0.01, 50.88, 11.42
 2, 345.00, -41.98, -25.16, 1186.85, -42.13, 13.23, 4.01, 87.87, 72.56 
3, 230.00, -50.27, 78.78, 49.33, -31.26, 10.35, 0.01, 56.28, 71.68
 3, 345.00, -67.29, 98.72, 1162.26, -150.76, 192.31, 4.01, 78.13, 38.09 
4, 230.00, -87.62, -20.20, 34.63, 12.63, 46.46, 0.01, 35.73, -15.20
 4, 345.00, -100.70, -15.51, 1178.24, -148.61, 15.00, 4.01, 82.78, 84.24 
5, 230.00, -22.35, 88.74, 33.99, -48.46, -3.78, 0.01, 34.97, 94.47
 5, 345.00, -35.40, 105.91, 1169.70, -101.29, 179.18, 4.01, 80.02, 29.48 
6, 230.00, 44.51, -10.07, 30.27, -46.24, 21.54, 0.01, 30.68, 65.02
 6, 345.00, 38.77, -6.70, 1187.52, -11.45, 14.70, 4.01, 89.10, 37.91 
7, 230.00, -52.79, -30.23, 52.23, 24.79, 13.22, 0.01, 61.72, -61.94
 7, 345.00, -52.51, -30.25, 1187.28, -26.04, -15.99, 4.01, 88.53, 121.55 
8, 230.00, 30.48, -83.87, 18.85, 37.92, -41.53, 0.01, 18.53, -137.61
 8, 345.00, 43.32, -107.89, 1162.82, 105.13, -217.64, 4.01, 78.26, -154.22 
9, 230.00, 42.26, 64.92, 27.83, 6.15, 52.01, 0.01, 27.99, -6.74
 9, 345.00, 48.81, 82.76, 1175.73, 68.67, 153.30, 4.01, 81.87, -24.13 
10, 230.00, -49.61, -24.78, 33.84, -47.55, 10.58, 0.01, 34.78, 77.46
 10, 345.00, -62.40, -24.79, 1183.19, -102.13, -13.29, 4.01, 85.03, 97.41 
11, 230.00, -10.70, 14.17, 26.48, 34.28, -40.51, 0.01, 26.52, -139.76
 11, 630.00, -0.46, 3.04, 1453.71, 20.08, -19.41, 6.01, 88.90, -134.02 
12, 230.00, -56.98, -67.14, 9.54, 10.71, -57.55, 0.01, 9.25, -169.46
 12, 345.00, -65.42, -89.83, 1167.69, -96.85, -194.11, 4.01, 79.48, 153.48 
13, 230.00, -29.16, 14.54, 1.66, 20.87, -55.49, 0.01, 1.60, -159.39
 13, 345.00, -26.92, 4.73, 1186.69, -4.28, -48.10, 4.01, 87.67, 174.91 
14, 230.00, -18.33, -23.77, 12.58, -23.32, -53.06, 0.01, 12.25, 156.28
 14, 345.00, -23.91, -35.36, 1184.41, -40.78, -77.82, 4.01, 85.76, 152.34 
15, 230.00, 28.81, -59.39, 37.16, 33.04, 32.33, 0.01, 38.80, -45.62
 15, 345.00, 37.46, -58.78, 1185.34, 68.15, -29.71, 4.01, 86.41, -113.56 
16, 230.00, 36.41, -4.40, 37.10, -43.20, -16.58, 0.01, 38.72, 110.99
 16, 345.00, 30.58, -7.77, 1187.37, -15.14, -22.11, 4.01, 88.71, 145.60 
17, 230.00, 23.11, -6.74, 29.06, 39.78, -33.03, 0.01, 29.33, -129.71
 17, 345.00, 31.99, -13.37, 1185.25, 63.13, -41.88, 4.01, 86.34, -123.56 
18, 230.00, -36.00, 34.28, 31.94, -46.06, 19.40, 0.01, 32.58, 67.16
