ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 18.50, -39.48, 49.67, -23.45, -22.38, 0.01, 56.87, 133.67
 1, 345.00, 15.41, -46.23, 1186.17, -9.33, -58.96, 4.01, 87.12, 171.00 
2, 230.00, 76.57, 11.89, 11.59, -45.18, 36.63, 0.01, 11.27, 50.97
 2, 345.00, 76.82, 19.99, 1185.28, 49.84, 56.48, 4.01, 86.36, -41.43 
3, 230.00, 31.20, -8.44, 8.59, 31.10, 49.77, 0.01, 8.33, -32.00
 3, 345.00, 39.07, 0.57, 1185.19, 60.36, 47.34, 4.01, 86.30, -51.90 
4, 230.00, 55.22, 42.05, 52.30, -14.47, -23.94, 0.01, 61.86, 148.85
 4, 345.00, 57.80, 41.68, 1186.53, 47.17, 21.67, 4.01, 87.49, -65.33 
5, 230.00, -42.93, 81.84, 56.90, -5.63, 15.75, 0.01, 73.61, 19.68
 5, 345.00, -53.01, 101.92, 1167.51, -98.89, 194.21, 4.01, 79.43, 26.99 
6, 230.00, -61.39, 51.81, 48.22, 22.67, -26.06, 0.01, 54.39, -138.98
 6, 345.00, -64.79, 53.43, 1185.33, -60.54, 43.36, 4.01, 86.41, 54.39 
7, 230.00, -4.32, -93.57, 1.62, -32.02, 49.90, 0.01, 1.57, 32.69
 7, 345.00, -10.89, -103.51, 1178.85, -45.45, -137.10, 4.01, 83.01, 161.66 
8, 230.00, 0.16, 42.58, 6.36, 58.53, -7.21, 0.01, 6.15, -97.02
 8, 345.00, 11.34, 44.00, 1185.58, 64.17, 29.14, 4.01, 86.60, -65.58 
9, 230.00, 66.47, 42.85, 6.52, 58.45, 7.68, 0.01, 6.31, -82.52
 9, 345.00, 86.40, 50.14, 1173.35, 168.10, 74.46, 4.01, 81.09, -66.11 
10, 230.00, 28.89, 7.93, 9.66, -58.44, -3.08, 0.01, 9.38, 93.02
 10, 345.00, 19.46, 7.83, 1187.22, -31.67, 6.50, 4.01, 88.44, 78.40 
11, 230.00, 18.44, -21.57, 44.67, -30.40, -24.46, 0.01, 48.86, 128.82
