ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 0.28, 83.43, 58.39, -5.10, 9.07, 0.01, 79.90, 29.35
 1, 335.00, -0.51, 95.04, 1179.90, -5.23, 135.56, 4.01, 83.44, 2.21 
2, 230.00, -71.98, -9.61, 26.25, -52.88, 5.75, 0.01, 26.26, 83.80
 2, 335.00, -87.74, -9.56, 1178.44, -147.71, -5.59, 4.01, 82.85, 92.17 
3, 230.00, -2.72, 73.70, 34.74, 41.29, 24.61, 0.01, 35.86, -59.20
 3, 335.00, 3.92, 84.72, 1181.12, 42.13, 117.26, 4.01, 83.98, -19.76 
4, 230.00, -42.81, 85.64, 35.81, -27.34, -38.57, 0.01, 37.14, 144.68
 4, 335.00, -56.29, 97.91, 1170.03, -130.77, 156.53, 4.01, 80.11, 39.88 
5, 230.00, 67.80, 62.32, 22.23, -42.58, 34.80, 0.01, 22.01, 50.74
 5, 335.00, 72.75, 78.83, 1173.16, 87.05, 163.22, 4.01, 81.04, -28.07 
6, 230.00, 54.88, -2.38, 12.63, 33.58, 47.22, 0.01, 12.30, -35.42
 6, 335.00, 64.22, 5.61, 1183.52, 86.14, 49.13, 4.01, 85.21, -60.30 
7, 230.00, 17.11, 61.97, 5.61, -54.07, -23.72, 0.01, 5.43, 113.68
 7, 335.00, 8.99, 62.22, 1186.43, -42.47, 33.67, 4.01, 87.38, 51.60 
8, 230.00, -34.04, 7.77, 4.37, 14.09, -57.44, 0.01, 4.23, -166.21
 8, 335.00, -33.25, -1.93, 1186.28, -11.68, -56.18, 4.01, 87.23, 168.25 
9, 230.00, -28.09, 54.63, 43.78, 39.92, -2.58, 0.01, 47.58, -93.70
 9, 335.00, -23.29, 57.87, 1186.57, 17.01, 48.25, 4.01, 87.53, -19.42 
10, 230.00, -34.26, -15.90, 13.32, 3.56, 57.68, 0.01, 12.98, -3.53
 10, 335.00, -35.36, -6.66, 1186.40, -22.91, 49.96, 4.01, 87.35, 24.64 
11, 230.00, -69.14, -24.77, 50.15, 13.45, 28.66, 0.01, 57.73, -25.13
 11, 335.00, -72.90, -22.18, 1185.92, -64.34, 3.04, 4.01, 86.89, 87.30 
12, 230.00, 5.99, 74.39, 6.94, -57.84, -11.14, 0.01, 6.72, 100.90
 12, 335.00, -3.31, 79.26, 1183.87, -56.62, 76.10, 4.01, 85.42, 36.65 
13, 230.00, 69.21, 41.55, 10.30, -58.25, -4.25, 0.01, 10.00, 94.17
 13, 335.00, 66.43, 45.04, 1186.39, 25.06, 49.00, 4.01, 87.34, -27.09 
14, 230.00, 7.29, 96.18, 39.57, 26.43, -35.40, 0.01, 41.85, -143.25
 14, 335.00, 13.05, 112.01, 1171.21, 47.28, 191.29, 4.01, 80.45, -13.88 
