ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 38.85, -21.83, 50.59, 11.00, 28.94, 0.01, 58.53, -20.82
 1, 345.00, 43.46, -17.95, 1186.71, 46.04, 12.38, 4.01, 87.70, -74.94 
2, 230.00, 44.33, -78.75, 8.99, 39.05, -43.72, 0.01, 8.72, -138.23
 2, 345.00, 60.76, -103.29, 1159.08, 139.43, -218.33, 4.01, 77.40, -147.44 
3, 230.00, 20.19, -81.96, 8.58, -0.59, -58.68, 0.01, 8.32, 179.43
 3, 345.00, 23.40, -106.16, 1168.20, 34.95, -211.28, 4.01, 79.61, -170.61 
4, 230.00, 21.23, 10.59, 56.04, -12.31, -15.03, 0.01, 70.88, 140.69
 4, 345.00, 20.23, 8.44, 1187.61, 10.89, -4.79, 4.01, 89.43, -113.75 
5, 230.00, -48.25, 12.62, 20.40, -45.10, -32.67, 0.01, 20.12, 125.92
 5, 345.00, -60.30, 7.40, 1183.62, -95.04, -23.91, 4.01, 85.27, 104.12 
6, 230.00, -19.00, 75.87, 56.24, 11.68, 14.79, 0.01, 71.47, -38.32
 6, 345.00, -19.24, 87.79, 1181.16, -13.76, 123.46, 4.01, 84.00, 6.36 
7, 230.00, -4.65, -41.51, 25.23, 51.25, -15.96, 0.01, 25.18, -107.29
 7, 345.00, 4.69, -47.25, 1185.33, 51.91, -53.50, 4.01, 86.40, -135.87 
8, 230.00, 46.57, -11.51, 53.81, 8.02, 23.61, 0.01, 65.14, -18.75
 8, 345.00, 51.26, -7.98, 1186.49, 50.69, 15.35, 4.01, 87.44, -73.15 
9, 230.00, 82.43, -12.53, 6.40, 57.16, 14.47, 0.01, 6.19, -75.79
 9, 345.00, 105.93, -11.84, 1169.68, 205.89, -4.99, 4.01, 80.01, -91.39 
10, 230.00, -21.20, -73.12, 19.58, -28.37, 48.26, 0.01, 19.28, 30.45
 10, 345.00, -28.71, -72.17, 1185.56, -58.63, -39.51, 4.01, 86.59, 123.97 
11, 230.00, -7.00, 16.14, 34.51, 5.53, -47.92, 0.01, 35.58, -173.42
 11, 630.00, -8.74, 2.66, 1453.73, -11.73, -24.60, 6.01, 88.93, 154.51 
12, 230.00, -18.37, -25.45, 13.30, -49.65, -29.60, 0.01, 12.96, 120.80
 12, 345.00, -28.97, -32.67, 1184.41, -69.61, -53.65, 4.01, 85.76, 127.62 
13, 230.00, -39.45, -11.49, 52.49, -11.64, -25.04, 0.01, 62.25, 155.06
 13, 345.00, -44.16, -16.85, 1186.17, -46.77, -37.18, 4.01, 87.12, 128.48 
14, 230.00, 50.12, 45.35, 22.53, 45.30, 30.95, 0.01, 22.33, -55.66
 14, 345.00, 63.65, 55.73, 1178.98, 111.69, 89.89, 4.01, 83.07, -51.17 
15, 230.00, 42.64, -30.03, 4.86, -34.64, -47.90, 0.01, 4.70, 144.13
 15, 345.00, 39.19, -41.35, 1184.91, 2.09, -80.86, 4.01, 86.09, -178.52 
16, 230.00, 57.09, -25.80, 6.56, 49.45, 32.08, 0.01, 6.35, -57.03
 16, 345.00, 71.57, -22.08, 1181.77, 117.99, 7.02, 4.01, 84.29, -86.59 
17, 230.00, -20.60, -79.64, 13.29, -48.02, -32.17, 0.01, 12.95, 123.82
 17, 345.00, -32.46, -97.36, 1172.64, -88.00, -166.54, 4.01, 80.87, 152.15 
18, 230.00, -1.49, -75.71, 42.91, 22.73, -34.05, 0.01, 46.34, -146.27
 18, 345.00, 2.45, -90.89, 1178.86, 23.34, -142.51, 4.01, 83.02, -170.70 
19, 230.00, 41.05, -22.23, 51.69, 26.77, 11.39, 0.01, 60.63, -66.94
 19, 345.00, 48.81, -21.68, 1185.80, 66.12, -7.59, 4.01, 86.79, -96.55 
20, 230.00, -31.14, -58.41, 2.33, -44.91, -38.67, 0.01, 2.25, 130.73
 20, 345.00, -42.73, -71.54, 1179.02, -87.46, -113.22, 4.01, 83.08, 142.32 
21, 230.00, 77.65, 24.59, 25.03, -20.39, -49.75, 0.01, 24.97, 157.72
 21, 345.00, 83.74, 18.65, 1184.17, 88.83, -20.36, 4.01, 85.60, -102.91 
22, 230.00, 22.92, 56.51, 51.50, 11.22, -27.20, 0.01, 60.26, -157.59
 22, 345.00, 26.82, 56.14, 1186.81, 35.60, 27.64, 4.01, 87.83, -52.17 
23, 230.00, -90.00, 12.78, 15.84, -56.76, 6.69, 0.01, 15.49, 83.28
 23, 345.00, -119.68, 16.75, 1158.15, -260.77, 35.47, 4.01, 77.20, 82.25 
24, 230.00, -9.73, -48.81, 7.26, -26.88, 52.37, 0.01, 7.03, 27.17
