ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 24.09, -97.00, 21.94, 24.02, -49.59, 0.01, 21.71, -154.15
 1, 325.00, 44.30, -170.51, 1019.55, 157.19, -579.31, 3.98, 59.51, -164.82 
2, 230.00, -49.96, 51.03, 45.98, -27.41, -25.54, 0.01, 50.83, 132.99
 2, 325.00, -57.54, 50.73, 1184.62, -81.25, 25.14, 4.01, 85.89, 72.80 
3, 230.00, -34.07, -17.60, 57.86, -11.99, 5.14, 0.01, 77.29, 66.79
 3, 325.00, -37.25, -17.52, 1187.11, -35.78, -6.46, 4.01, 88.25, 100.23 
4, 230.00, 13.15, -49.64, 3.98, -43.22, 40.42, 0.01, 3.85, 46.92
 4, 325.00, 6.91, -45.46, 1187.08, -36.62, 7.36, 4.01, 88.20, 78.63 
5, 230.00, -18.49, -41.75, 30.27, -21.51, 46.25, 0.01, 30.69, 24.94
 5, 325.00, -22.59, -36.34, 1186.96, -35.75, 20.09, 4.01, 88.02, 60.67 
6, 230.00, -79.11, 4.20, 56.13, -18.21, 5.93, 0.01, 71.16, 71.95
 6, 325.00, -88.84, 5.45, 1181.50, -120.33, 11.81, 4.01, 84.16, 84.40 
7, 230.00, -47.33, -13.93, 8.60, 12.10, 57.42, 0.01, 8.34, -11.90
 7, 325.00, -47.51, -5.51, 1186.38, -21.00, 51.22, 4.01, 87.33, 22.29 
8, 230.00, 31.72, -15.90, 24.59, 17.21, -51.16, 0.01, 24.49, -161.40
 8, 325.00, 35.67, -24.53, 1185.22, 39.60, -65.05, 4.01, 86.32, -148.67 
9, 230.00, 40.23, -86.05, 54.01, 15.77, -18.75, 0.01, 65.60, -139.93
 9, 325.00, 50.17, -105.18, 1162.02, 110.36, -219.33, 4.01, 78.07, -153.29 
10, 230.00, 67.72, 61.30, 12.87, 53.44, -22.27, 0.01, 12.53, -112.62
 10, 325.00, 86.02, 67.41, 1168.38, 191.25, 94.24, 4.01, 79.66, -63.77 
11, 230.00, -40.64, 32.79, 53.58, -25.35, -2.10, 0.01, 64.61, 94.74
 11, 325.00, -46.41, 34.03, 1186.04, -57.85, 22.67, 4.01, 87.00, 68.60 
12, 230.00, -29.79, 10.57, 32.34, 5.10, -49.46, 0.01, 33.04, -174.11
 12, 325.00, -30.15, 3.28, 1186.69, -16.61, -45.27, 4.01, 87.67, 159.85 
13, 230.00, -93.07, 36.41, 8.56, -20.68, -54.92, 0.01, 8.30, 159.36
 13, 325.00, -147.08, 47.91, 1075.97, -481.99, 117.13, 3.99, 65.25, 76.34 
14, 230.00, -70.80, 16.32, 28.21, -6.09, -51.81, 0.01, 28.40, 173.30
 14, 325.00, -76.77, 9.60, 1184.24, -81.35, -38.90, 4.01, 85.65, 115.56 
15, 230.00, 6.04, -69.86, 36.99, 5.02, -46.09, 0.01, 38.58, -173.78
 15, 325.00, 7.23, -81.87, 1181.05, 11.90, -124.66, 4.01, 83.95, -174.55 
16, 230.00, 50.11, 72.00, 5.21, 16.19, 56.82, 0.01, 5.04, -15.91
 16, 325.00, 59.35, 90.34, 1167.42, 106.62, 190.62, 4.01, 79.40, -29.22 
17, 230.00, 63.43, -21.62, 15.54, -26.30, -50.84, 0.01, 15.19, 152.65
