ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 21.78, -23.55, 59.08, -5.13, 0.80, 0.01, 84.97, 81.12
 1, 325.00, 21.83, -24.33, 1187.52, 9.96, -15.83, 4.01, 89.10, -147.84 
2, 230.00, -42.94, 61.88, 24.54, 4.31, -53.82, 0.01, 24.44, -175.42
 2, 325.00, -45.37, 58.15, 1186.95, -40.73, 7.15, 4.01, 88.00, 80.05 
3, 230.00, -60.57, 19.98, 16.68, 8.50, -56.28, 0.01, 16.33, -171.41
 3, 325.00, -62.66, 12.39, 1186.09, -43.36, -43.11, 4.01, 87.05, 134.83 
4, 230.00, 13.90, -74.22, 51.63, 22.07, 19.12, 0.01, 60.51, -49.10
 4, 325.00, 18.23, -76.99, 1185.42, 39.29, -61.51, 4.01, 86.48, -147.43 
5, 230.00, -86.35, 35.73, 3.57, -58.99, 5.05, 0.01, 3.45, 85.11
 5, 325.00, -111.36, 43.21, 1155.15, -262.11, 86.68, 4.01, 76.56, 71.70 
6, 230.00, -48.36, -28.12, 46.45, -15.06, -33.66, 0.01, 51.55, 155.90
 6, 325.00, -53.13, -34.68, 1184.93, -55.24, -58.73, 4.01, 86.11, 136.75 
7, 230.00, 11.16, 50.11, 28.48, -48.93, 17.67, 0.01, 28.69, 70.14
 7, 325.00, 4.11, 55.18, 1185.52, -43.81, 56.31, 4.01, 86.56, 37.89 
8, 230.00, 59.79, -15.16, 27.98, 8.17, -51.65, 0.01, 28.15, -171.02
 8, 325.00, 64.46, -23.97, 1184.07, 61.54, -68.87, 4.01, 85.54, -138.22 
9, 230.00, -62.28, -10.79, 0.75, 45.41, -38.14, 0.01, 0.72, -130.02
 9, 325.00, -58.56, -17.36, 1186.61, -3.87, -50.08, 4.01, 87.58, 175.59 
10, 230.00, 61.39, 42.95, 47.75, 29.66, -18.91, 0.01, 53.62, -122.52
 10, 325.00, 70.59, 43.46, 1182.95, 101.95, 28.27, 4.01, 84.89, -74.50 
11, 230.00, -34.77, 83.10, 28.47, 50.76, 11.44, 0.01, 28.69, -77.30
 11, 325.00, -31.94, 95.84, 1177.19, -4.25, 157.29, 4.01, 82.39, 1.55 
12, 230.00, -37.58, -21.94, 22.84, -3.22, -54.64, 0.01, 22.65, 176.62
 12, 325.00, -39.69, -31.41, 1185.02, -29.81, -73.53, 4.01, 86.17, 157.93 
13, 230.00, -63.60, -50.41, 37.77, -41.87, -18.38, 0.01, 39.56, 113.70
 13, 325.00, -76.23, -58.21, 1176.52, -134.78, -90.57, 4.01, 82.14, 123.90 
14, 230.00, 9.38, -1.45, 27.09, -16.43, 50.14, 0.01, 27.17, 18.14
 14, 630.00, 8.52, 22.12, 1452.29, 6.70, 69.84, 6.01, 87.23, -5.48 
15, 230.00, 25.57, -51.07, 0.88, 38.70, -44.94, 0.01, 0.85, -139.26
 15, 325.00, 33.08, -60.97, 1182.39, 63.55, -92.11, 4.01, 84.59, -145.40 
16, 230.00, 82.91, 25.72, 9.45, -26.38, -52.27, 0.01, 9.16, 153.22
 16, 325.00, 87.84, 20.63, 1183.91, 92.30, -19.94, 4.01, 85.44, -102.19 
17, 230.00, -21.95, 50.76, 17.27, 1.92, -56.71, 0.01, 16.92, -178.06
 17, 325.00, -22.68, 44.30, 1187.37, -14.34, -22.57, 4.01, 88.71, 147.56 
18, 230.00, -35.80, 21.51, 24.63, -32.07, -43.39, 0.01, 24.53, 143.53
 18, 325.00, -42.27, 15.63, 1185.80, -58.68, -31.36, 4.01, 86.79, 118.12 
19, 230.00, -17.55, 42.23, 20.79, 41.21, -37.25, 0.01, 20.52, -132.11
 19, 325.00, -11.85, 38.17, 1187.20, 31.62, -10.16, 4.01, 88.40, -107.82 
20, 230.00, 76.18, 61.96, 4.29, 43.15, 40.47, 0.01, 4.15, -46.83
 20, 325.00, 105.23, 86.36, 1125.56, 291.31, 242.99, 4.01, 71.37, -50.17 
21, 230.00, 19.27, -10.45, 57.62, 11.20, -8.47, 0.01, 76.31, -127.09
 21, 325.00, 21.73, -12.15, 1187.15, 29.66, -18.71, 4.01, 88.31, -122.24 
22, 230.00, 41.31, -31.44, 2.93, 55.89, 19.64, 0.01, 2.83, -70.64
 22, 325.00, 52.15, -29.87, 1184.12, 91.74, -3.29, 4.01, 85.57, -92.05 
23, 230.00, -21.56, 73.73, 3.78, 57.18, 15.31, 0.01, 3.66, -75.01
 23, 325.00, -14.50, 82.07, 1182.59, 37.16, 103.17, 4.01, 84.70, -19.81 
24, 230.00, 6.71, 12.52, 13.72, 30.96, -48.69, 0.01, 13.38, -147.55
 24, 630.00, 27.19, -1.94, 1452.02, 68.46, -31.16, 6.01, 87.03, -114.47 
25, 230.00, -57.36, -74.66, 50.59, 22.69, -21.04, 0.01, 58.55, -132.84
 25, 325.00, -64.01, -90.53, 1169.54, -97.01, -182.53, 4.01, 79.98, 152.01 
26, 230.00, 9.94, -73.67, 22.77, 48.43, 25.58, 0.01, 22.58, -62.16
 26, 325.00, 18.05, -75.17, 1184.86, 63.23, -51.59, 4.01, 86.06, -129.21 
27, 230.00, -45.92, 72.82, 48.33, -2.62, -34.28, 0.01, 54.58, 175.62
 27, 325.00, -51.18, 75.53, 1183.65, -69.72, 68.41, 4.01, 85.28, 45.54 
28, 230.00, 7.64, 49.42, 21.87, -54.96, 4.27, 0.01, 21.64, 85.56
 28, 325.00, -0.57, 52.33, 1185.79, -52.97, 40.68, 4.01, 86.78, 52.48 
29, 230.00, 35.82, 53.70, 7.22, 20.71, 55.11, 0.01, 6.99, -20.60
 29, 325.00, 41.36, 65.75, 1180.98, 57.37, 112.04, 4.01, 83.92, -27.11 
30, 230.00, 29.12, 62.67, 9.29, 41.12, 41.71, 0.01, 9.01, -44.59
 30, 325.00, 37.59, 73.63, 1179.93, 75.75, 112.14, 4.01, 83.46, -34.04 
31, 230.00, -23.25, -59.91, 50.83, 22.07, 21.15, 0.01, 58.98, -46.22
 31, 325.00, -21.24, -60.10, 1187.30, 3.44, -29.36, 4.01, 88.57, -173.31 
32, 230.00, 17.98, 7.31, 8.85, -40.10, 42.80, 0.01, 8.58, 43.14
 32, 630.00, 11.86, 34.03, 1451.31, -0.68, 87.65, 6.01, 86.54, 0.44 
