ion, x, y, z, vx, vy, vz, energy, elev, azim
 37, 325.00, -35.40, 60.53, 1183.07, -27.09, 100.90, 4.01, 84.95, 15.03 
38, 230.00, 16.18, 26.98, 20.12, -1.98, -55.76, 0.01, 19.83, 177.96
 38, 325.00, 16.51, 19.27, 1187.02, 11.91, -37.51, 4.01, 88.10, -162.39 
39, 230.00, 71.77, 28.66, 11.56, -7.53, -57.68, 0.01, 11.24, 172.56
 39, 325.00, 76.25, 22.08, 1185.01, 73.50, -30.18, 4.01, 86.16, -112.32 
40, 230.00, 53.00, -12.65, 21.94, -49.42, -24.36, 0.01, 21.71, 116.24
 40, 325.00, 47.80, -17.02, 1187.07, -13.16, -35.41, 4.01, 88.18, 159.62 
41, 230.00, 35.03, 15.91, 44.64, 27.02, 28.19, 0.01, 48.83, -43.78
 41, 325.00, 40.59, 20.88, 1185.81, 52.40, 40.69, 4.01, 86.80, -52.17 
42, 230.00, -37.77, 89.94, 36.27, -42.23, 20.45, 0.01, 37.70, 64.16
 42, 325.00, -53.40, 115.74, 1143.95, -154.95, 279.17, 4.01, 74.41, 29.03 
43, 230.00, -10.80, 49.69, 12.52, -32.00, -48.34, 0.01, 12.19, 146.50
 43, 325.00, -16.30, 44.32, 1186.83, -41.88, -15.71, 4.01, 87.84, 110.57 
44, 230.00, 4.98, 52.31, 12.75, -57.70, 5.12, 0.01, 12.42, 84.93
 44, 325.00, -3.82, 55.59, 1185.41, -57.84, 44.98, 4.01, 86.46, 52.13 
45, 230.00, -3.21, -94.24, 50.14, -14.28, -28.28, 0.01, 57.71, 153.21
 45, 325.00, -5.85, -115.62, 1162.47, -23.11, -242.31, 4.01, 78.17, 174.55 
46, 230.00, 9.41, 15.67, 15.79, -33.98, 45.98, 0.01, 15.44, 36.47
 46, 325.00, 4.39, 23.58, 1185.47, -28.61, 66.20, 4.01, 86.52, 23.37 
47, 230.00, -43.46, -23.83, 9.52, 37.21, -45.20, 0.01, 9.24, -140.54
 47, 325.00, -39.56, -32.01, 1185.84, 8.16, -65.46, 4.01, 86.82, -172.89 
48, 230.00, 40.35, -63.68, 57.51, -11.16, -9.28, 0.01, 75.83, 129.74
 48, 325.00, 41.81, -69.96, 1184.37, 33.42, -81.89, 4.01, 85.73, -157.80 
49, 230.00, 35.51, -26.96, 45.23, 14.59, -35.48, 0.01, 49.69, -157.64
 49, 325.00, 39.28, -33.56, 1185.62, 40.60, -56.75, 4.01, 86.63, -144.42 
50, 230.00, -6.17, 2.01, 12.26, -58.00, -1.99, 0.01, 11.93, 91.96
 50, 630.00, -39.62, 2.57, 1450.05, -106.85, 3.68, 6.01, 85.78, 88.03 
51, 230.00, 26.04, 57.60, 35.85, 15.26, -44.71, 0.01, 37.19, -161.16
 51, 325.00, 29.80, 53.94, 1187.05, 38.42, 0.98, 4.01, 88.15, -88.54 
