ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -12.84, -17.80, 4.34, 41.18, 42.46, 0.01, 4.19, -44.12
 1, 630.00, 3.09, -3.58, 1453.44, 31.86, 23.89, 6.01, 88.43, -53.14 
2, 230.00, -33.04, -56.50, 35.97, -37.19, 29.00, 0.01, 37.33, 52.06
 2, 425.00, -52.86, -61.67, 1181.89, -100.67, -59.57, 4.01, 84.35, 120.62 
3, 230.00, 75.19, 39.44, 34.67, 28.72, 38.61, 0.01, 35.77, -36.64
 3, 425.00, 112.43, 66.16, 1161.49, 206.55, 137.29, 4.01, 77.95, -56.39 
4, 230.00, 30.04, 15.01, 37.23, 45.60, -7.26, 0.01, 38.88, -99.04
 4, 425.00, 50.39, 15.70, 1183.60, 97.45, 12.46, 4.01, 85.26, -82.71 
5, 230.00, 41.59, 26.04, 44.59, -38.93, 3.65, 0.01, 48.75, 84.64
 5, 425.00, 38.19, 32.63, 1186.81, 14.35, 42.78, 4.01, 87.82, -18.55 
6, 230.00, 34.04, -31.22, 34.68, 44.02, -19.42, 0.01, 35.79, -113.81
 6, 425.00, 55.28, -44.11, 1180.96, 104.48, -70.48, 4.01, 83.91, -124.00 
7, 230.00, 31.45, -52.33, 6.12, -34.49, 47.86, 0.01, 5.92, 35.78
 7, 425.00, 27.65, -49.03, 1187.41, 7.16, -23.53, 4.01, 88.81, -163.07 
8, 230.00, -12.93, -28.07, 1.39, 28.66, -51.91, 0.01, 1.34, -151.10
 8, 425.00, -6.18, -50.46, 1183.11, 16.69, -102.59, 4.01, 84.98, -170.76 
9, 230.00, -39.15, 87.95, 22.26, -12.62, -53.51, 0.01, 22.04, 166.73
 9, 425.00, -62.82, 116.96, 1165.49, -128.72, 188.64, 4.01, 78.91, 34.31 
10, 230.00, -72.15, -39.84, 37.21, 29.16, -35.81, 0.01, 38.86, -140.85
 10, 425.00, -87.08, -63.86, 1175.51, -113.26, -126.08, 4.01, 81.80, 138.06 
11, 230.00, 63.29, -46.40, 20.98, 44.62, 32.96, 0.01, 20.71, -53.55
 11, 425.00, 97.12, -50.86, 1172.64, 181.03, -52.01, 4.01, 80.87, -106.03 
12, 230.00, -36.46, 27.67, 52.79, -26.53, -5.21, 0.01, 62.88, 101.10
 12, 425.00, -52.38, 31.89, 1184.06, -85.75, 34.57, 4.01, 85.53, 68.04 
13, 230.00, 92.41, 22.32, 21.11, 20.27, 51.58, 0.01, 20.85, -21.45
 13, 425.00, 150.01, 50.34, 1139.97, 306.20, 131.53, 4.01, 73.70, -66.75 
14, 230.00, 32.52, -71.18, 19.03, 17.94, 53.24, 0.01, 18.71, -18.62
 14, 425.00, 47.53, -75.46, 1182.75, 83.18, -68.77, 4.01, 84.79, -129.58 
15, 230.00, -51.92, -73.45, 14.27, 22.79, 52.86, 0.01, 13.92, -23.32
 15, 425.00, -64.47, -84.96, 1179.73, -90.62, -102.82, 4.01, 83.37, 138.61 
16, 230.00, -34.90, 67.22, 22.92, 16.11, 52.28, 0.01, 22.73, -17.13
 16, 425.00, -40.67, 104.24, 1170.43, -48.48, 195.71, 4.01, 80.23, 13.91 
17, 230.00, 75.62, -12.62, 28.46, 2.05, -51.99, 0.01, 28.68, -177.74
 17, 425.00, 99.12, -32.48, 1175.06, 148.46, -88.05, 4.01, 81.64, -120.67 
18, 230.00, 71.79, -69.11, 45.01, 27.12, 27.50, 0.01, 49.37, -44.59
 18, 425.00, 142.85, -121.55, 1106.86, 341.78, -263.87, 4.01, 68.69, -127.67 
19, 230.00, 56.57, -47.59, 40.75, -31.02, -29.91, 0.01, 43.40, 133.95
 19, 425.00, 63.01, -70.18, 1179.36, 65.95, -123.74, 4.01, 83.22, -151.94 
20, 230.00, 84.36, 17.71, 30.76, -2.00, 50.67, 0.01, 31.24, 2.26
 20, 425.00, 115.18, 39.71, 1168.21, 188.12, 102.27, 4.01, 79.61, -61.47 
21, 230.00, 55.18, -5.94, 47.72, -2.62, 35.12, 0.01, 53.57, 4.27
 21, 425.00, 66.77, 3.60, 1184.35, 82.26, 33.23, 4.01, 85.72, -68.00 
22, 230.00, 65.39, 26.82, 56.46, -3.48, -17.84, 0.01, 72.15, 168.98
 22, 425.00, 81.67, 28.50, 1182.26, 110.38, 25.37, 4.01, 84.53, -77.05 
23, 230.00, -1.58, 58.00, 9.36, 8.02, -58.01, 0.01, 9.08, -172.13
 23, 425.00, 0.62, 52.41, 1187.50, 7.35, 18.34, 4.01, 89.05, -21.84 
24, 230.00, 3.47, 42.27, 55.57, -15.45, -13.82, 0.01, 69.55, 131.81
 24, 425.00, -0.61, 46.52, 1186.77, -13.59, 44.10, 4.01, 87.77, 17.13 
25, 230.00, 15.10, -64.56, 59.19, -2.97, -2.36, 0.01, 86.34, 128.50
 25, 425.00, 18.01, -81.59, 1182.18, 21.93, -111.96, 4.01, 84.49, -168.92 
26, 230.00, -40.26, 7.54, 13.10, -56.40, 12.86, 0.01, 12.76, 77.15
 26, 425.00, -66.87, 13.26, 1180.45, -127.97, 26.76, 4.01, 83.68, 78.19 
27, 230.00, -53.59, -6.68, 8.34, -58.39, 6.27, 0.01, 8.08, 83.87
 27, 425.00, -84.94, -6.26, 1177.22, -157.15, -3.03, 4.01, 82.39, 91.10 
