ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 51.84, 10.82, 18.83, 33.75, 44.99, 0.01, 18.51, -36.88
 1, 425.00, 74.51, 27.60, 1179.14, 122.63, 71.82, 4.01, 83.13, -59.64 
2, 230.00, 48.70, 77.78, 10.07, 39.72, -42.88, 0.01, 9.78, -137.19
 2, 425.00, 81.77, 98.35, 1166.22, 172.45, 144.08, 4.01, 79.09, -50.12 
3, 230.00, 19.13, -71.17, 35.35, 40.47, 25.11, 0.01, 36.58, -58.18
 3, 425.00, 36.92, -83.28, 1180.56, 84.14, -98.77, 4.01, 83.73, -139.57 
4, 230.00, 56.17, 37.48, 27.68, 51.78, 8.35, 0.01, 27.82, -80.84
 4, 425.00, 87.69, 50.33, 1173.83, 163.54, 77.08, 4.01, 81.24, -64.76 
5, 230.00, -92.08, -25.85, 38.92, 41.12, 17.65, 0.01, 41.02, -66.77
 5, 425.00, -125.04, -33.31, 1168.22, -207.85, -50.87, 4.01, 79.62, 103.75 
6, 230.00, -68.74, -31.50, 25.98, -27.97, -45.39, 0.01, 25.98, 148.36
 6, 425.00, -98.74, -55.36, 1169.68, -169.12, -117.49, 4.01, 80.02, 124.79 
7, 230.00, 16.78, 33.08, 52.14, 0.88, 28.25, 0.01, 61.54, -1.79
 7, 425.00, 20.41, 48.50, 1184.64, 24.93, 81.03, 4.01, 85.91, -17.10 
8, 230.00, -24.99, -30.86, 4.10, -21.22, -55.23, 0.01, 3.96, 158.98
 8, 425.00, -37.10, -55.19, 1180.67, -62.51, -112.54, 4.01, 83.78, 150.95 
9, 230.00, -47.35, 36.80, 40.24, -41.16, 14.28, 0.01, 42.72, 70.87
 9, 425.00, -71.79, 50.28, 1178.16, -128.11, 78.05, 4.01, 82.74, 58.65 
10, 230.00, -44.59, -78.43, 1.68, -58.83, 7.36, 0.01, 1.62, 82.86
 10, 425.00, -82.22, -110.49, 1157.39, -186.41, -190.41, 4.01, 77.03, 135.61 
11, 230.00, -5.90, 12.99, 6.86, -55.92, 18.53, 0.01, 6.64, 71.67
 11, 425.00, -25.14, 21.41, 1184.52, -76.38, 40.52, 4.01, 85.83, 62.06 
12, 230.00, -28.14, -18.58, 36.35, -29.77, 36.20, 0.01, 37.80, 39.43
 12, 425.00, -43.04, -10.79, 1185.14, -75.47, 17.59, 4.01, 86.26, 76.88 
13, 230.00, 25.76, -21.76, 45.81, 35.07, 13.74, 0.01, 50.57, -68.60
 13, 425.00, 41.80, -21.72, 1184.99, 78.43, -14.04, 4.01, 86.15, -100.15 
14, 230.00, -53.43, 17.76, 47.67, -35.26, 1.32, 0.01, 53.49, 87.86
 14, 425.00, -76.86, 22.32, 1180.40, -127.76, 29.87, 4.01, 83.66, 76.84 
15, 230.00, -68.40, 7.72, 36.14, 37.98, 27.72, 0.01, 37.54, -53.88
 15, 425.00, -74.01, 18.24, 1184.69, -69.79, 46.79, 4.01, 85.94, 56.16 
16, 230.00, 77.85, -52.39, 54.87, -9.10, 20.60, 0.01, 67.68, 23.82
 16, 425.00, 111.23, -70.61, 1165.45, 197.51, -115.24, 4.01, 78.90, -120.26 
17, 230.00, 30.88, -37.47, 23.00, 33.34, -43.32, 0.01, 22.82, -142.42
 17, 425.00, 48.37, -59.60, 1179.27, 87.97, -110.23, 4.01, 83.18, -141.41 
18, 230.00, 51.07, 1.72, 14.91, 54.89, -16.79, 0.01, 14.56, -107.01
 18, 425.00, 80.27, -3.24, 1178.43, 146.79, -17.78, 4.01, 82.85, -96.91 
19, 230.00, 55.53, 42.39, 10.67, -16.06, 56.09, 0.01, 10.37, 15.98
 19, 425.00, 65.78, 71.75, 1176.05, 80.10, 145.08, 4.01, 81.98, -28.91 
20, 230.00, -95.76, 22.09, 3.11, 56.05, 19.13, 0.01, 3.00, -71.16
 20, 425.00, -135.46, 40.69, 1159.19, -240.26, 94.84, 4.01, 77.44, 68.46 
21, 230.00, -25.93, -24.08, 10.70, -39.63, 42.81, 0.01, 10.40, 42.80
 21, 425.00, -43.81, -15.07, 1184.50, -84.78, 17.94, 4.01, 85.82, 78.05 
22, 230.00, -29.54, -11.62, 4.53, 4.31, 58.98, 0.01, 4.38, -4.18
 22, 425.00, -33.84, 5.22, 1185.81, -36.33, 55.62, 4.01, 86.79, 33.15 
23, 230.00, -53.75, -22.29, 11.99, 25.62, 52.13, 0.01, 11.66, -26.17
 23, 425.00, -57.70, -10.76, 1186.17, -52.06, 28.96, 4.01, 87.12, 60.92 
24, 230.00, 75.03, 54.33, 13.56, 41.28, 40.37, 0.01, 13.22, -45.64
 24, 425.00, 126.42, 94.76, 1139.25, 265.60, 205.30, 4.01, 73.58, -52.30 
25, 230.00, 5.32, -91.82, 35.68, 0.14, -47.38, 0.01, 36.98, -179.83
 25, 425.00, 7.95, -150.73, 1146.45, 14.75, -309.84, 4.01, 74.86, -177.27 
