ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -10.55, 22.09, 16.71, -49.15, -28.69, 0.01, 16.36, 120.27
 1, 425.00, -28.33, 17.05, 1185.32, -74.55, -4.15, 4.01, 86.40, 93.18 
2, 230.00, -5.03, -33.41, 2.38, -47.32, -35.67, 0.01, 2.30, 127.01
 2, 425.00, -21.37, -51.69, 1182.41, -64.72, -90.92, 4.01, 84.61, 144.55 
3, 230.00, 11.85, 32.87, 47.06, 24.61, 26.40, 0.01, 52.51, -42.99
 3, 425.00, 21.91, 47.67, 1184.18, 46.40, 78.31, 4.01, 85.60, -30.64 
4, 230.00, -46.67, 61.72, 18.09, -56.41, -2.94, 0.01, 17.76, 92.98
 4, 425.00, -78.96, 80.31, 1170.47, -162.29, 119.23, 4.01, 80.24, 53.70 
5, 230.00, 76.13, -12.27, 50.16, -23.13, 21.60, 0.01, 57.76, 46.96
 5, 425.00, 91.09, -9.27, 1182.15, 114.28, 3.30, 4.01, 84.48, -88.34 
6, 230.00, -57.37, 4.48, 41.33, -40.53, 12.91, 0.01, 44.18, 72.33
 6, 425.00, -83.72, 9.57, 1178.93, -141.97, 22.91, 4.01, 83.05, 80.83 
7, 230.00, -41.41, -68.38, 19.60, 48.18, -28.49, 0.01, 19.29, -120.60
 7, 425.00, -39.69, -98.92, 1174.89, -23.82, -172.13, 4.01, 81.59, 172.12 
8, 230.00, 33.84, 85.17, 54.66, 19.90, -11.59, 0.01, 67.16, -120.21
 8, 425.00, 54.37, 118.63, 1165.15, 110.22, 202.10, 4.01, 78.82, -28.61 
9, 230.00, 30.97, 85.92, 49.46, 1.95, 32.67, 0.01, 56.51, -3.41
 9, 425.00, 45.67, 134.82, 1154.65, 83.58, 265.25, 4.01, 76.46, -17.49 
10, 230.00, -18.88, 17.36, 14.30, 20.87, 53.64, 0.01, 13.95, -21.26
 10, 425.00, -15.77, 37.94, 1184.32, -0.82, 89.14, 4.01, 85.70, 0.52 
11, 230.00, -42.05, 13.90, 39.67, 43.53, 6.99, 0.01, 41.98, -80.88
 11, 425.00, -36.92, 18.89, 1187.30, -8.14, 28.50, 4.01, 88.57, 15.93 
12, 230.00, 10.01, 53.20, 19.73, -46.27, -31.43, 0.01, 19.43, 124.19
 12, 425.00, -2.44, 54.84, 1186.20, -41.03, 42.36, 4.01, 87.15, 44.09 
13, 230.00, -74.87, -1.79, 30.18, 29.24, -41.85, 0.01, 30.59, -145.07
 13, 425.00, -86.77, -15.18, 1182.13, -100.80, -54.35, 4.01, 84.47, 118.33 
14, 230.00, -35.86, -25.52, 48.74, -32.41, -9.55, 0.01, 55.27, 106.41
