ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 3.32, 83.59, 4.17, 44.14, 39.39, 0.01, 4.03, -48.25
 1, 425.00, 18.31, 126.74, 1162.43, 62.10, 235.52, 4.01, 78.17, -14.77 
2, 230.00, -11.22, -52.18, 2.45, -55.10, 21.82, 0.01, 2.37, 68.39
 2, 425.00, -31.38, -56.77, 1183.46, -84.43, -53.33, 4.01, 85.18, 122.28 
3, 230.00, 32.62, -32.51, 13.12, -34.22, 46.63, 0.01, 12.78, 36.27
 3, 425.00, 28.31, -24.21, 1187.62, 5.77, 9.50, 4.01, 89.46, -31.25 
4, 230.00, -66.51, -44.63, 6.54, 10.14, -58.07, 0.01, 6.33, -170.09
 4, 425.00, -85.37, -77.55, 1169.70, -124.65, -163.78, 4.01, 80.02, 142.73 
5, 230.00, -5.82, -24.86, 41.87, 23.10, 35.08, 0.01, 44.91, -33.36
 5, 630.00, 3.49, -18.55, 1453.84, 20.18, -1.18, 6.01, 89.20, -93.35 
6, 230.00, 24.07, -75.00, 2.58, -29.81, 51.21, 0.01, 2.49, 30.21
 6, 425.00, 21.67, -80.52, 1185.16, 8.20, -76.74, 4.01, 86.27, -173.90 
7, 230.00, -15.70, -84.99, 41.10, 36.49, -22.29, 0.01, 43.87, -121.42
 7, 425.00, -10.61, -123.80, 1166.86, 8.93, -221.15, 4.01, 79.26, -177.69 
8, 230.00, -58.86, -57.48, 23.65, 54.03, -6.28, 0.01, 23.50, -96.62
 8, 425.00, -61.01, -77.65, 1180.11, -52.08, -123.24, 4.01, 83.53, 157.09 
9, 230.00, 59.58, -76.37, 39.78, -42.53, -11.24, 0.01, 42.12, 104.80
 9, 425.00, 80.55, -122.58, 1153.34, 132.67, -250.54, 4.01, 76.19, -152.10 
10, 230.00, -88.73, 37.14, 54.31, -8.57, 22.24, 0.01, 66.31, 21.08
 10, 425.00, -141.75, 64.83, 1143.83, -286.24, 142.59, 4.01, 74.38, 63.52 
11, 230.00, 66.63, -26.46, 42.92, -6.85, 40.36, 0.01, 46.36, 9.63
 11, 425.00, 82.33, -21.15, 1182.64, 109.11, 2.43, 4.01, 84.73, -88.72 
12, 230.00, -51.90, -0.04, 57.93, 6.34, 11.02, 0.01, 77.62, -29.90
 12, 425.00, -61.21, 3.34, 1185.49, -70.70, 13.21, 4.01, 86.53, 79.42 
13, 230.00, 51.11, -77.62, 11.79, -46.56, -34.80, 0.01, 11.47, 126.78
 13, 425.00, 61.08, -124.75, 1157.71, 80.41, -252.52, 4.01, 77.11, -162.34 
14, 230.00, -61.19, -73.60, 21.60, -30.30, -46.18, 0.01, 21.36, 146.73
 14, 425.00, -107.67, -132.46, 1126.24, -235.12, -294.80, 4.01, 71.49, 141.43 
15, 230.00, -83.04, -22.23, 52.39, 26.12, -9.53, 0.01, 62.04, -110.05
 15, 425.00, -104.29, -32.85, 1176.91, -147.92, -59.75, 4.01, 82.28, 112.00 
16, 230.00, -5.02, -36.12, 58.46, 7.37, -6.72, 0.01, 80.32, -132.38
 16, 425.00, -3.73, -45.31, 1186.20, 1.76, -59.06, 4.01, 87.15, -178.29 
17, 230.00, 39.77, 57.56, 12.95, -24.37, 52.50, 0.01, 12.61, 24.90
 17, 425.00, 43.18, 90.11, 1174.87, 42.09, 168.69, 4.01, 81.58, -14.01 
18, 230.00, 4.98, -25.10, 16.41, 33.20, 46.33, 0.01, 16.06, -35.63
 18, 425.00, 16.60, -14.93, 1186.49, 49.24, 19.82, 4.01, 87.44, -68.08 
19, 230.00, 51.18, 82.36, 57.98, -4.89, 11.50, 0.01, 77.83, 23.04
 19, 425.00, 79.97, 134.37, 1143.80, 158.01, 277.88, 4.01, 74.39, -29.62 
20, 230.00, 71.23, 48.45, 47.09, 31.39, -17.73, 0.01, 52.56, -119.46
 20, 425.00, 107.29, 61.21, 1167.46, 199.66, 87.97, 4.01, 79.41, -66.22 
21, 230.00, -96.96, -3.04, 16.96, 11.17, 55.72, 0.01, 16.62, -11.34
 21, 425.00, -149.72, 11.79, 1149.42, -293.05, 58.94, 4.01, 75.42, 78.63 
22, 230.00, -41.42, -62.49, 22.21, -26.50, -48.19, 0.01, 21.99, 151.19
 22, 425.00, -62.56, -96.94, 1168.12, -113.89, -181.90, 4.01, 79.59, 147.95 
23, 230.00, 31.93, 34.79, 22.82, -14.00, 52.93, 0.01, 22.62, 14.81
 23, 425.00, 34.42, 59.14, 1181.52, 31.06, 116.60, 4.01, 84.17, -14.91 
24, 230.00, 31.36, -51.06, 40.97, 42.78, 2.95, 0.01, 43.69, -86.06
 24, 425.00, 52.20, -62.44, 1180.53, 102.91, -79.49, 4.01, 83.71, -127.68 
25, 230.00, -11.17, 88.58, 55.26, 12.08, -17.84, 0.01, 68.70, -145.89
 25, 425.00, -11.91, 117.58, 1173.07, -11.36, 185.27, 4.01, 81.01, 3.51 
26, 230.00, -33.62, 83.51, 23.47, 46.05, -29.10, 0.01, 23.31, -122.29
 26, 425.00, -32.65, 106.75, 1176.87, -21.56, 158.31, 4.01, 82.27, 7.75 
27, 230.00, -76.32, 38.85, 29.45, -50.23, -11.27, 0.01, 29.78, 102.65
 27, 425.00, -121.09, 50.38, 1161.11, -237.97, 75.79, 4.01, 77.86, 72.33 
28, 230.00, 62.50, -50.58, 35.16, 16.37, 44.87, 0.01, 36.36, -20.04
 28, 425.00, 87.06, -52.72, 1178.01, 144.13, -45.56, 4.01, 82.69, -107.54 
29, 230.00, -84.95, 26.48, 6.40, 30.59, 50.41, 0.01, 6.20, -31.25
 29, 425.00, -108.85, 52.28, 1169.96, -161.97, 124.58, 4.01, 80.09, 52.43 
