ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, -44.22, -59.87, 21.47, 11.30, 54.12, 0.01, 21.23, -11.80
 1, 425.00, -52.66, -59.27, 1185.21, -64.86, -40.40, 4.01, 86.31, 121.92 
2, 230.00, 12.66, -73.57, 53.42, 24.95, -6.41, 0.01, 64.26, -104.41
 2, 425.00, 23.90, -96.79, 1177.52, 53.99, -145.23, 4.01, 82.50, -159.61 
3, 230.00, 27.38, 78.72, 0.98, 28.21, 52.16, 0.01, 0.94, -28.41
 3, 425.00, 46.53, 124.73, 1158.53, 96.96, 242.85, 4.01, 77.28, -21.76 
4, 230.00, 49.93, 30.68, 33.09, -49.22, 0.40, 0.01, 33.92, 89.53
 4, 425.00, 45.82, 37.72, 1186.56, 17.91, 48.14, 4.01, 87.52, -20.41 
5, 230.00, 91.72, 27.12, 16.95, -56.74, 3.23, 0.01, 16.61, 86.74
 5, 425.00, 118.95, 41.09, 1170.64, 184.11, 79.03, 4.01, 80.29, -66.77 
6, 230.00, -67.03, -3.95, 33.06, 7.62, -48.65, 0.01, 33.88, -171.10
 6, 425.00, -81.87, -20.07, 1181.16, -105.20, -65.98, 4.01, 84.00, 122.10 
7, 230.00, -22.32, 92.42, 30.21, 49.92, -10.65, 0.01, 30.62, -102.04
 7, 425.00, -18.61, 135.18, 1161.47, -1.78, 248.05, 4.01, 77.94, 0.41 
8, 230.00, -9.67, -43.75, 55.84, 7.37, -18.58, 0.01, 70.30, -158.36
 8, 425.00, -9.40, -58.64, 1184.50, -5.31, -86.51, 4.01, 85.81, 176.49 
9, 230.00, -7.97, 54.84, 17.73, -16.76, -54.06, 0.01, 17.40, 162.77
 9, 425.00, -15.01, 49.69, 1187.10, -32.45, 17.48, 4.01, 88.22, 61.69 
10, 230.00, -9.98, -57.66, 2.96, 52.22, -27.96, 0.01, 2.86, -118.17
 10, 425.00, 4.33, -80.40, 1179.84, 47.79, -127.47, 4.01, 83.42, -159.45 
11, 230.00, -23.85, 89.36, 38.24, -4.38, -45.12, 0.01, 40.15, 174.46
 11, 425.00, -35.17, 113.53, 1173.98, -64.87, 167.66, 4.01, 81.29, 21.15 
12, 230.00, -97.69, -18.28, 19.89, 55.22, -8.52, 0.01, 19.59, -98.77
 12, 425.00, -147.04, -32.98, 1151.17, -281.76, -75.73, 4.01, 75.78, 105.04 
13, 230.00, -10.95, 19.66, 1.90, -2.64, -59.22, 0.01, 1.83, 177.45
 13, 630.00, -17.69, -2.69, 1453.11, -25.34, -43.42, 6.01, 88.02, 149.73 
14, 230.00, 23.61, 48.53, 9.79, 45.25, 37.08, 0.01, 9.50, -50.67
 14, 425.00, 43.63, 71.80, 1177.64, 92.98, 122.75, 4.01, 82.55, -37.14 
15, 230.00, 3.75, 52.52, 1.29, -2.87, 59.23, 0.01, 1.25, 2.77
 15, 425.00, 3.71, 83.87, 1177.39, 2.44, 155.91, 4.01, 82.46, -0.90 
16, 230.00, -16.57, 42.48, 31.25, 47.61, -16.57, 0.01, 31.80, -109.19
 16, 425.00, -4.97, 45.97, 1186.46, 33.50, 41.69, 4.01, 87.42, -38.79 
17, 230.00, 19.89, 42.31, 55.41, -4.99, -20.54, 0.01, 69.12, 166.35
 17, 425.00, 22.46, 44.71, 1186.87, 23.05, 37.08, 4.01, 87.89, -31.86 
18, 230.00, -81.49, 23.50, 6.99, -57.40, 13.17, 0.01, 6.77, 77.07
 18, 425.00, -131.27, 36.80, 1156.50, -260.83, 71.02, 4.01, 76.84, 74.77 
19, 230.00, -0.63, -6.88, 16.99, 15.06, 54.79, 0.01, 16.65, -15.37
 19, 630.00, 7.12, 19.12, 1452.51, 19.57, 62.29, 6.01, 87.43, -17.44 
20, 230.00, 33.92, 72.85, 53.52, 23.52, -9.99, 0.01, 64.48, -113.01
 20, 425.00, 51.77, 92.96, 1176.13, 96.68, 133.94, 4.01, 82.01, -35.82 
21, 230.00, 17.87, -5.64, 49.31, 22.46, -24.12, 0.01, 56.24, -137.03
 21, 425.00, 28.24, -14.24, 1185.96, 51.93, -36.98, 4.01, 86.92, -125.45 
22, 230.00, -30.48, -70.48, 19.64, 38.72, 40.41, 0.01, 19.34, -43.78
 22, 425.00, -27.03, -77.69, 1184.99, -8.33, -79.33, 4.01, 86.15, 174.01 
23, 230.00, 89.24, 36.58, 52.17, -16.05, 23.21, 0.01, 61.59, 34.65
 23, 425.00, 133.97, 63.63, 1151.78, 253.62, 140.31, 4.01, 75.87, -61.05 
24, 230.00, -13.24, 3.67, 44.03, -39.73, 0.70, 0.01, 47.94, 88.98
 24, 425.00, -28.19, 4.57, 1185.77, -66.85, 5.99, 4.01, 86.76, 84.88 
25, 230.00, -17.89, -29.17, 29.73, -40.90, -30.99, 0.01, 30.09, 127.15
 25, 425.00, -34.46, -44.86, 1182.67, -74.89, -78.94, 4.01, 84.74, 136.51 
26, 230.00, -13.31, -88.27, 15.30, -56.55, 9.23, 0.01, 14.95, 80.73
 26, 425.00, -35.93, -121.16, 1166.10, -101.83, -201.01, 4.01, 79.06, 153.13 
27, 230.00, -29.28, 56.47, 43.66, 26.09, 30.51, 0.01, 47.40, -40.54
 27, 425.00, -28.53, 80.00, 1180.25, -17.29, 131.43, 4.01, 83.59, 7.49 
28, 230.00, -76.81, 36.58, 59.19, 2.89, 2.45, 0.01, 86.34, -49.76
 28, 425.00, -102.96, 50.18, 1173.53, -163.08, 82.33, 4.01, 81.15, 63.21 
29, 230.00, -34.19, 70.34, 59.01, 2.34, 5.48, 0.01, 84.23, -23.16
