ion, x, y, z, vx, vy, vz, energy, elev, azim
84, 230.00, -45.27, -88.43, 22.76, 54.16, 8.13, 0.01, 22.57, -81.46
 84, 425.00, -61.29, -148.29, 1140.26, -100.99, -316.48, 4.01, 73.76, 162.30 
85, 230.00, 31.03, -54.84, 14.75, 48.77, 30.35, 0.01, 14.40, -58.11
 85, 425.00, 54.05, -58.74, 1181.27, 110.83, -53.52, 4.01, 84.05, -115.78 
86, 230.00, -66.80, -41.53, 48.22, -17.01, 30.05, 0.01, 54.39, 29.51
 86, 425.00, -92.44, -45.15, 1177.15, -151.28, -44.53, 4.01, 82.37, 106.40 
87, 230.00, 24.59, 74.88, 46.09, -32.55, 18.26, 0.01, 51.00, 60.70
 87, 425.00, 22.36, 103.76, 1175.37, 8.87, 170.24, 4.01, 81.75, -2.98 
88, 230.00, 90.46, 22.31, 41.08, -33.90, -26.09, 0.01, 43.84, 127.58
 88, 425.00, 119.81, 24.31, 1172.06, 190.23, 25.22, 4.01, 80.70, -82.45 
89, 230.00, -51.32, 53.10, 13.85, -25.14, -51.90, 0.01, 13.50, 154.16
 89, 425.00, -73.46, 51.67, 1180.72, -124.02, 32.79, 4.01, 83.80, 75.19 
90, 230.00, 58.96, 52.70, 18.35, -31.55, 46.75, 0.01, 18.02, 34.02
 90, 425.00, 67.84, 83.84, 1173.83, 78.88, 162.65, 4.01, 81.25, -25.87 
91, 230.00, 62.82, 4.15, 30.02, -10.29, 50.10, 0.01, 30.41, 11.60
 91, 425.00, 74.91, 20.81, 1182.26, 90.64, 67.76, 4.01, 84.53, -53.22 
92, 230.00, 75.26, 26.98, 58.53, -6.04, -7.43, 0.01, 80.71, 140.92
 92, 425.00, 96.80, 33.12, 1178.41, 141.26, 44.24, 4.01, 82.84, -72.61 
93, 230.00, -73.67, -0.65, 19.81, 55.87, 1.80, 0.01, 19.52, -88.15
 93, 425.00, -75.86, -0.26, 1186.10, -61.08, 1.06, 4.01, 87.05, 89.01 
94, 230.00, 45.46, -77.25, 51.25, -23.00, -19.04, 0.01, 59.78, 129.61
 94, 425.00, 57.17, -114.46, 1165.96, 82.10, -210.59, 4.01, 79.03, -158.70 
95, 230.00, 2.61, -71.18, 49.31, -29.51, -14.69, 0.01, 56.24, 116.46
 95, 425.00, -5.70, -95.27, 1178.25, -31.18, -145.96, 4.01, 82.78, 167.94 
96, 230.00, 3.63, 63.46, 19.75, 52.66, 18.84, 0.01, 19.45, -70.31
 96, 425.00, 21.13, 85.46, 1178.42, 70.46, 130.09, 4.01, 82.84, -28.44 
97, 230.00, -4.78, -66.50, 56.10, -0.61, 19.24, 0.01, 71.06, 1.80
 97, 425.00, -6.16, -77.20, 1184.37, -8.74, -88.05, 4.01, 85.73, 174.33 
98, 230.00, 59.72, 0.66, 56.21, 18.07, -5.65, 0.01, 71.39, -107.37
 98, 425.00, 79.49, -0.92, 1181.75, 118.30, -5.76, 4.01, 84.28, -92.79 
99, 230.00, 5.87, -68.26, 28.92, 50.26, 12.45, 0.01, 29.18, -76.09
 99, 425.00, 23.02, -82.17, 1181.07, 71.42, -102.68, 4.01, 83.96, -145.18 
100, 230.00, -87.22, -12.71, 27.52, -42.20, 31.30, 0.01, 27.64, 53.43
 100, 425.00, -136.23, -8.44, 1157.80, -264.60, 7.59, 4.01, 77.12, 88.36 
