ion, x, y, z, vx, vy, vz, energy, elev, azim
1, 230.00, 51.08, 7.24, 51.26, -28.48, -8.89, 0.01, 59.80, 107.33
 1, 425.00, 53.17, 6.04, 1186.93, 41.95, 0.10, 4.01, 87.98, -89.86 
2, 230.00, 3.62, -49.02, 42.80, -36.10, 19.56, 0.01, 46.19, 61.55
 2, 425.00, -6.88, -53.27, 1186.04, -38.21, -48.96, 4.01, 87.00, 142.03 
3, 230.00, -59.29, -5.92, 20.71, 50.08, 24.09, 0.01, 20.44, -64.31
 3, 425.00, -56.92, 0.32, 1187.08, -31.38, 20.06, 4.01, 88.20, 57.41 
4, 230.00, -63.76, -4.08, 21.11, 19.34, -51.94, 0.01, 20.85, -159.58
 4, 425.00, -73.29, -21.38, 1182.80, -81.47, -70.04, 4.01, 84.81, 130.68 
5, 230.00, -31.91, -35.65, 34.47, 18.02, 44.77, 0.01, 35.53, -21.93
 5, 425.00, -32.84, -28.96, 1187.41, -24.87, 2.01, 4.01, 88.80, 85.37 
6, 230.00, -83.50, -54.16, 52.98, 25.86, -6.47, 0.01, 63.29, -104.04
 6, 425.00, -137.11, -95.67, 1133.09, -285.16, -213.11, 4.01, 72.56, 126.77 
7, 230.00, -85.42, -11.92, 55.57, 8.21, -19.04, 0.01, 69.54, -156.68
 7, 425.00, -113.81, -21.90, 1173.05, -179.04, -49.61, 4.01, 81.00, 105.49 
8, 230.00, 70.98, -30.06, 37.45, -33.06, -31.98, 0.01, 39.15, 134.05
 8, 425.00, 81.63, -48.64, 1180.09, 93.63, -95.76, 4.01, 83.53, -135.65 
9, 230.00, 67.69, 32.96, 43.42, 26.72, -30.30, 0.01, 47.06, -138.59
 9, 425.00, 95.73, 33.37, 1176.51, 160.42, 25.30, 4.01, 82.14, -81.04 
10, 230.00, 88.10, 22.43, 40.08, -12.26, 41.96, 0.01, 42.52, 16.28
 10, 425.00, 121.89, 44.51, 1164.82, 205.34, 107.57, 4.01, 78.74, -62.35 
11, 230.00, 86.93, -42.58, 33.99, 47.23, 11.46, 0.01, 34.97, -76.37
 11, 425.00, 155.90, -65.99, 1128.44, 347.64, -127.85, 4.01, 71.83, -110.19 
12, 230.00, 46.79, -48.96, 9.33, 7.64, 58.07, 0.01, 9.05, -7.49
 12, 425.00, 60.92, -42.92, 1184.36, 87.90, -11.20, 4.01, 85.72, -97.26 
13, 230.00, -1.01, 5.93, 0.08, 46.72, 36.53, 0.01, 0.08, -51.98
 13, 425.00, 14.07, 18.95, 1185.06, 56.96, 54.43, 4.01, 86.20, -46.30 
14, 230.00, 81.25, -1.08, 40.49, -8.35, 42.52, 0.01, 43.06, 11.11
 14, 425.00, 104.80, 11.49, 1176.56, 154.24, 49.78, 4.01, 82.16, -72.11 
15, 230.00, -62.16, -46.96, 12.05, 20.43, -54.36, 0.01, 11.73, -159.40
 15, 425.00, -75.26, -78.62, 1172.78, -97.89, -159.90, 4.01, 80.92, 148.53 
16, 230.00, -86.50, 37.27, 27.78, -1.20, -52.39, 0.01, 27.93, 178.69
 16, 425.00, -128.08, 39.42, 1162.95, -238.06, 37.54, 4.01, 78.29, 81.04 
17, 230.00, 58.74, 54.83, 50.48, 24.49, 19.24, 0.01, 58.33, -51.84
 17, 425.00, 85.60, 78.81, 1170.07, 151.09, 136.63, 4.01, 80.12, -47.88 
18, 230.00, -16.34, -33.86, 56.86, 13.91, 9.56, 0.01, 73.47, -55.50
 18, 425.00, -15.24, -37.54, 1187.09, -6.39, -36.39, 4.01, 88.22, 170.05 
19, 230.00, -38.47, 86.03, 33.10, -39.89, -28.83, 0.01, 33.92, 125.85
 19, 425.00, -69.05, 119.30, 1159.74, -155.68, 203.22, 4.01, 77.55, 37.45 
20, 230.00, -44.24, -84.52, 19.21, -15.58, 53.91, 0.01, 18.90, 16.12
 20, 425.00, -70.43, -109.70, 1166.77, -142.71, -169.72, 4.01, 79.24, 139.94 
21, 230.00, 73.29, -45.94, 52.39, 18.69, 20.58, 0.01, 62.05, -42.24
 21, 425.00, 106.01, -56.78, 1170.11, 187.83, -78.28, 4.01, 80.13, -112.62 
22, 230.00, 56.03, -6.50, 6.47, 50.11, 31.05, 0.01, 6.26, -58.22
 22, 425.00, 85.50, 1.87, 1177.58, 152.04, 27.49, 4.01, 82.53, -79.75 
23, 230.00, -6.97, 46.67, 13.93, 7.82, 57.12, 0.01, 13.59, -7.80
 23, 425.00, -6.01, 75.28, 1179.29, -1.11, 140.79, 4.01, 83.19, 0.45 
24, 230.00, -93.04, 17.84, 40.09, -43.21, -6.57, 0.01, 42.53, 98.65
 24, 425.00, -157.18, 25.69, 1139.08, -333.15, 45.66, 4.01, 73.55, 82.20 
25, 230.00, 67.84, 19.13, 5.49, 12.27, -57.77, 0.01, 5.31, -168.01
 25, 425.00, 90.02, 6.06, 1179.36, 135.30, -37.03, 4.01, 83.22, -105.30 
26, 230.00, 57.74, 3.57, 51.51, 20.83, -20.75, 0.01, 60.28, -134.88
 26, 425.00, 77.71, -1.99, 1181.70, 117.34, -19.37, 4.01, 84.25, -99.38 
27, 230.00, 88.81, -21.74, 17.15, 40.22, 40.08, 0.01, 16.80, -45.10
 27, 425.00, 142.21, -19.61, 1152.87, 285.28, -8.16, 4.01, 76.10, -91.64 
28, 230.00, -33.68, 84.62, 8.44, 57.85, 9.97, 0.01, 8.18, -80.22
 28, 425.00, -30.32, 123.44, 1166.42, -12.48, 223.31, 4.01, 79.15, 3.20 
29, 230.00, 14.00, 51.12, 41.18, 19.94, 37.74, 0.01, 43.97, -27.85
 29, 425.00, 23.43, 74.60, 1180.10, 46.06, 125.71, 4.01, 83.53, -20.12 
30, 230.00, 49.69, -7.86, 32.73, 48.88, -7.58, 0.01, 33.49, -98.81
 30, 425.00, 76.27, -12.02, 1179.65, 136.14, -21.35, 4.01, 83.34, -98.91 
31, 230.00, 69.87, -28.67, 8.27, -49.17, 32.12, 0.01, 8.01, 56.85
 31, 425.00, 73.51, -26.43, 1185.84, 64.74, -11.93, 4.01, 86.82, -100.44 
32, 230.00, 46.41, 20.71, 52.49, 7.88, 26.45, 0.01, 62.26, -16.60
 32, 425.00, 59.03, 33.44, 1183.28, 80.01, 63.36, 4.01, 85.07, -51.62 
33, 230.00, 22.50, -25.42, 23.88, -35.23, 41.31, 0.01, 23.74, 40.46
 33, 425.00, 15.60, -17.14, 1187.56, -9.74, 12.88, 4.01, 89.22, 37.08 
34, 230.00, -90.92, -22.40, 22.46, -44.21, -32.54, 0.01, 22.25, 126.35
 34, 425.00, -152.88, -44.25, 1138.45, -321.38, -105.90, 4.01, 73.45, 108.24 
35, 230.00, -72.01, 36.99, 38.22, 36.42, -27.02, 0.01, 40.13, -126.56
 35, 425.00, -82.82, 40.01, 1183.17, -95.65, 38.99, 4.01, 85.01, 67.82 
36, 230.00, -9.10, -89.23, 53.38, -17.94, -18.62, 0.01, 64.16, 136.06
 36, 425.00, -18.26, -132.17, 1161.71, -44.39, -242.93, 4.01, 78.00, 169.64 
37, 230.00, 75.67, 44.62, 24.40, 9.07, -53.29, 0.01, 24.30, -170.35
 37, 425.00, 106.72, 45.14, 1172.91, 183.20, 35.91, 4.01, 80.96, -78.91 
38, 230.00, 20.29, 49.03, 41.86, 36.14, -21.43, 0.01, 44.90, -120.67
 38, 425.00, 36.02, 53.17, 1184.31, 74.63, 48.90, 4.01, 85.69, -56.77 
39, 230.00, 19.76, -89.26, 20.44, -53.65, -14.89, 0.01, 20.16, 105.51
 39, 425.00, 12.22, -133.05, 1161.56, -15.49, -247.22, 4.01, 77.96, 176.41 
40, 230.00, -6.49, 41.03, 0.81, -20.37, 55.70, 0.01, 0.78, 20.09
 40, 425.00, -14.47, 67.80, 1180.17, -34.46, 128.75, 4.01, 83.56, 14.99 
41, 230.00, -60.21, 1.59, 54.97, -22.06, 3.11, 0.01, 67.93, 81.99
 41, 425.00, -81.48, 2.93, 1181.09, -124.63, 6.34, 4.01, 83.97, 87.09 
42, 230.00, 66.58, -73.94, 35.16, 45.57, 14.33, 0.01, 36.35, -72.54
 42, 425.00, 137.11, -132.76, 1102.16, 334.14, -292.02, 4.01, 68.07, -131.15 
43, 230.00, 71.46, 6.27, 22.82, -2.46, 54.69, 0.01, 22.63, 2.57
 43, 425.00, 90.44, 25.03, 1178.38, 125.89, 78.22, 4.01, 82.83, -58.15 
44, 230.00, 64.22, -58.92, 33.86, -45.92, 16.22, 0.01, 34.81, 70.55
 44, 425.00, 72.94, -74.72, 1179.79, 83.36, -108.20, 4.01, 83.40, -142.39 
45, 230.00, 36.90, 56.87, 21.88, -45.58, 31.01, 0.01, 21.65, 55.77
 45, 425.00, 32.28, 81.41, 1179.81, 8.10, 136.19, 4.01, 83.40, -3.40 
46, 230.00, 16.59, 35.04, 39.82, 17.35, 40.38, 0.01, 42.18, -23.26
 46, 425.00, 25.45, 54.92, 1182.65, 44.92, 99.36, 4.01, 84.73, -24.33 
47, 230.00, -28.19, -61.41, 31.02, -49.19, -11.63, 0.01, 31.54, 103.30
 47, 425.00, -51.07, -81.51, 1176.24, -109.72, -122.39, 4.01, 82.04, 138.12 
48, 230.00, 82.63, 2.30, 37.25, -44.05, -13.77, 0.01, 38.90, 107.35
 48, 425.00, 95.29, -1.15, 1182.37, 111.42, -12.22, 4.01, 84.58, -96.26 
49, 230.00, -19.85, 69.73, 19.85, -32.15, 45.72, 0.01, 19.56, 35.12
