T	3.05	6.10	9.16	12.21	15.27	18.32	21.37	24.43	27.49	30.54	33.60	36.65	39.70	42.76
40	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47	1.03483	1.01134	1.00464	1.00493	1.00379	1.00442	1.00631	1.00669	1.00758	1.00847	1.00926	1.00943	1.01024	1.0116
53	1.03144	1.01145	1.00346	1.00055	0.9992	1.00021	1.001	1.00222	1.00321	1.00514	1.00534	1.00584	1.00841	1.00818
57	1.00259	0.98944	0.98213	0.97935	0.97714	0.97799	0.97928	0.97888	0.97929	0.97991	0.98051	0.97934	0.98101	0.97998
62	0.98109	0.9525	0.94656	0.94377	0.94161	0.94012	0.93887	0.93833	0.93789	0.93785	0.93676	0.9357	0.9335	0.92995
67	0.92995	0.91241	0.90139	0.89649	0.89359	0.89138	0.88844	0.88659	0.88546	0.88414	0.88243	0.87994	0.87889	0.87287
72	0.90547	0.87524	0.85952	0.85299	0.84797	0.8454	0.84257	0.84074	0.83971	0.83871	0.83762	0.83585	0.83205	0.83082
77	0.78706	0.74172	0.72446	0.71482	0.70768	0.70265	0.6977	0.69363	0.68962	0.68607	0.68283	0.67849	0.67413	-999
