FILE=1GEM=tune_shift_0.gemV1=-100  V2=0
FILE=1GEM=tune_shift_0.gemV1=-90  V2=10
FILE=1GEM=tune_shift_0.gemV1=-80  V2=20
FILE=1GEM=tune_shift_0.gemV1=-70  V2=30
FILE=1GEM=tune_shift_0.gemV1=-60  V2=40
FILE=1GEM=tune_shift_0.gemV1=-50  V2=50
FILE=1GEM=tune_shift_0.gemV1=-40  V2=60
FILE=1GEM=tune_shift_0.gemV1=-30  V2=70
FILE=1GEM=tune_shift_0.gemV1=-20  V2=80
FILE=1GEM=tune_shift_0.gemV1=-10  V2=90
FILE=1GEM=tune_shift_10.gemV1=-100  V2=0
FILE=1GEM=tune_shift_10.gemV1=-90  V2=10
FILE=1GEM=tune_shift_10.gemV1=-80  V2=20
FILE=1GEM=tune_shift_10.gemV1=-70  V2=30
FILE=1GEM=tune_shift_10.gemV1=-60  V2=40
FILE=1GEM=tune_shift_10.gemV1=-50  V2=50
FILE=1GEM=tune_shift_10.gemV1=-40  V2=60
FILE=1GEM=tune_shift_10.gemV1=-30  V2=70
FILE=1GEM=tune_shift_10.gemV1=-20  V2=80
FILE=1GEM=tune_shift_10.gemV1=-10  V2=90
FILE=2GEM=tune_shift_0.gemV1=-100  V2=0
FILE=2GEM=tune_shift_0.gemV1=-90  V2=10
FILE=2GEM=tune_shift_0.gemV1=-80  V2=20
FILE=2GEM=tune_shift_0.gemV1=-70  V2=30
FILE=2GEM=tune_shift_0.gemV1=-60  V2=40
FILE=2GEM=tune_shift_0.gemV1=-50  V2=50
FILE=2GEM=tune_shift_0.gemV1=-40  V2=60
FILE=2GEM=tune_shift_0.gemV1=-30  V2=70
FILE=2GEM=tune_shift_0.gemV1=-20  V2=80
FILE=2GEM=tune_shift_0.gemV1=-10  V2=90
FILE=2GEM=tune_shift_10.gemV1=-100  V2=0
FILE=2GEM=tune_shift_10.gemV1=-90  V2=10
FILE=2GEM=tune_shift_10.gemV1=-80  V2=20
FILE=2GEM=tune_shift_10.gemV1=-70  V2=30
FILE=2GEM=tune_shift_10.gemV1=-60  V2=40
FILE=2GEM=tune_shift_10.gemV1=-50  V2=50
FILE=2GEM=tune_shift_10.gemV1=-40  V2=60
FILE=2GEM=tune_shift_10.gemV1=-30  V2=70
FILE=2GEM=tune_shift_10.gemV1=-20  V2=80
FILE=2GEM=tune_shift_10.gemV1=-10  V2=90
FILE=3GEM=tune_shift_0.gemV1=-100  V2=0
FILE=3GEM=tune_shift_0.gemV1=-90  V2=10
FILE=3GEM=tune_shift_0.gemV1=-80  V2=20
FILE=3GEM=tune_shift_0.gemV1=-70  V2=30
FILE=3GEM=tune_shift_0.gemV1=-60  V2=40
FILE=3GEM=tune_shift_0.gemV1=-50  V2=50
FILE=3GEM=tune_shift_0.gemV1=-40  V2=60
FILE=3GEM=tune_shift_0.gemV1=-30  V2=70
FILE=3GEM=tune_shift_0.gemV1=-20  V2=80
FILE=3GEM=tune_shift_0.gemV1=-10  V2=90
FILE=3GEM=tune_shift_10.gemV1=-100  V2=0
FILE=3GEM=tune_shift_10.gemV1=-90  V2=10
FILE=3GEM=tune_shift_10.gemV1=-80  V2=20
FILE=3GEM=tune_shift_10.gemV1=-70  V2=30
FILE=3GEM=tune_shift_10.gemV1=-60  V2=40
FILE=3GEM=tune_shift_10.gemV1=-50  V2=50
FILE=3GEM=tune_shift_10.gemV1=-40  V2=60
FILE=3GEM=tune_shift_10.gemV1=-30  V2=70
FILE=3GEM=tune_shift_10.gemV1=-20  V2=80
FILE=3GEM=tune_shift_10.gemV1=-10  V2=90
FILE=4GEM=tune_shift_0.gemV1=-100  V2=0
FILE=4GEM=tune_shift_0.gemV1=-90  V2=10
FILE=4GEM=tune_shift_0.gemV1=-80  V2=20
FILE=4GEM=tune_shift_0.gemV1=-70  V2=30
FILE=4GEM=tune_shift_0.gemV1=-60  V2=40
FILE=4GEM=tune_shift_0.gemV1=-50  V2=50
FILE=4GEM=tune_shift_0.gemV1=-40  V2=60
FILE=4GEM=tune_shift_0.gemV1=-30  V2=70
FILE=4GEM=tune_shift_0.gemV1=-20  V2=80
FILE=4GEM=tune_shift_0.gemV1=-10  V2=90
FILE=4GEM=tune_shift_10.gemV1=-100  V2=0
FILE=4GEM=tune_shift_10.gemV1=-90  V2=10
FILE=4GEM=tune_shift_10.gemV1=-80  V2=20
FILE=4GEM=tune_shift_10.gemV1=-70  V2=30
FILE=4GEM=tune_shift_10.gemV1=-60  V2=40
FILE=4GEM=tune_shift_10.gemV1=-50  V2=50
FILE=4GEM=tune_shift_10.gemV1=-40  V2=60
FILE=4GEM=tune_shift_10.gemV1=-30  V2=70
FILE=4GEM=tune_shift_10.gemV1=-20  V2=80
FILE=4GEM=tune_shift_10.gemV1=-10  V2=90
