FILE=1  V1=-100  V2=0
FILE=1  V1=-90  V2=10
FILE=1  V1=-80  V2=20
FILE=1  V1=-70  V2=30
FILE=1  V1=-60  V2=40
FILE=1  V1=-50  V2=50
FILE=1  V1=-40  V2=60
FILE=1  V1=-30  V2=70
FILE=1  V1=-20  V2=80
FILE=1  V1=-10  V2=90
FILE=2  V1=-100  V2=0
FILE=2  V1=-90  V2=10
FILE=2  V1=-80  V2=20
FILE=2  V1=-70  V2=30
FILE=2  V1=-60  V2=40
FILE=2  V1=-50  V2=50
FILE=2  V1=-40  V2=60
FILE=2  V1=-30  V2=70
FILE=2  V1=-20  V2=80
FILE=2  V1=-10  V2=90
FILE=3  V1=-100  V2=0
FILE=3  V1=-90  V2=10
FILE=3  V1=-80  V2=20
FILE=3  V1=-70  V2=30
FILE=3  V1=-60  V2=40
FILE=3  V1=-50  V2=50
FILE=3  V1=-40  V2=60
FILE=3  V1=-30  V2=70
FILE=3  V1=-20  V2=80
FILE=3  V1=-10  V2=90
FILE=4  V1=-100  V2=0
FILE=4  V1=-90  V2=10
FILE=4  V1=-80  V2=20
FILE=4  V1=-70  V2=30
FILE=4  V1=-60  V2=40
FILE=4  V1=-50  V2=50
FILE=4  V1=-40  V2=60
FILE=4  V1=-30  V2=70
FILE=4  V1=-20  V2=80
FILE=4  V1=-10  V2=90
