ion,x0,y0,z0,vx0,vy0,vz0,ke0,elev0,azim0,x1,y1,z1,vx1,vy1,vz1,ke1,elev1,azim1
1, 230.000, -80.316, -30.057, 614.373, -570.984, 6.843, 2.000, 47.094, 89.313
1, 325.000,-101.786, -31.830, 5914.497, -934.901, -118.386, 101.981, 80.947, 97.217
2, 230.000, 50.488, 54.793, 269.289, 467.412, 642.288, 2.000, 18.727, -36.044
2, 325.000,67.130, 76.941, 5890.523, 659.779, 857.730, 101.981, 79.590, -37.568
3, 230.000, 8.451, -24.847, 692.933, -98.176, -462.309, 2.000, 55.704, 168.011
3, 325.000,5.811, -38.552, 5965.371, -85.355, -525.608, 101.981, 84.899, 170.776
4, 230.000, -14.958, 68.877, 16.357, 658.021, -519.870, 2.000, 1.117, -128.310
4, 325.000,5.376, 54.451, 5940.780, 650.816, -390.813, 101.981, 82.718, -120.985
5, 230.000, 17.899, 28.876, 334.231, 631.409, -439.473, 2.000, 23.483, -124.839
5, 325.000,37.411, 16.150, 5935.935, 688.130, -400.431, 101.981, 82.361, -120.196
6, 230.000, 61.653, 42.877, 153.971, -619.175, -544.463, 2.000, 10.578, 131.326
6, 325.000,44.486, 27.435, 5949.517, -503.248, -468.127, 101.981, 83.410, 132.929
7, 230.000, 20.268, 26.683, 545.643, -325.642, -547.499, 2.000, 40.582, 149.257
7, 630.000,5.241, -8.914, 3338.800, -84.108, -316.316, 31.999, 84.401, 165.110
8, 230.000, 77.222, 57.274, 431.886, -67.769, -715.825, 2.000, 30.991, 174.592
8, 325.000,82.061, 41.931, 5962.438, 327.945, -458.616, 101.979, 84.598, -144.432
9, 230.000, 3.135, 91.928, 493.449, -406.264, -543.122, 2.000, 36.037, 143.203
9, 325.000,-8.261, 82.159, 5971.283, -413.139, -205.134, 101.980, 85.583, 116.406
10, 230.000, -80.950, 30.809, 356.091, -684.027, 329.895, 2.000, 25.122, 64.253
10, 325.000,-107.589, 43.007, 5864.416, -1109.980, 496.024, 101.982, 78.288, 65.921
11, 230.000, 96.798, -17.965, 146.957, 825.649, -15.201, 2.000, 10.091, -91.055
11, 325.000,145.048, -22.684, 5672.016, 1912.974, -207.071, 101.995, 71.261, -96.178
12, 230.000, 91.717, -7.704, 312.575, -487.097, -607.090, 2.000, 21.880, 141.258
