ion,x,y,z,vx,vy,vz,energy,elev,azim
 785, 325.00, 24.90, 51.96, 5929.99, 52.35, 45.38, 99.99, 89.33, -49.08 
786, 230.00, 35.13, 35.96, 50.42, 23.98, 20.03, 0.01, 58.22, -50.13
 786, 325.00, 36.71, 37.44, 5929.03, 91.29, 88.77, 99.99, 88.77, -45.80 
787, 230.00, -23.90, 89.50, 3.00, -32.04, -49.82, 0.01, 2.90, 147.26
 787, 325.00, -26.87, 95.43, 5915.49, -152.85, 391.79, 99.99, 85.93, 21.31 
788, 230.00, -49.02, -70.40, 17.54, -44.71, -34.80, 0.01, 17.20, 127.90
 788, 325.00, -53.33, -75.67, 5917.80, -235.00, -306.43, 99.99, 86.27, 142.51 
789, 230.00, -73.24, -58.71, 15.24, 5.60, 57.04, 0.01, 14.89, -5.61
 789, 325.00, -79.75, -62.34, 5912.53, -384.78, -252.51, 99.99, 85.55, 123.27 
790, 230.00, -60.73, -14.04, 29.67, 38.48, 34.00, 0.01, 30.02, -48.54
 790, 325.00, -61.23, -13.36, 5929.72, -89.58, 5.35, 99.99, 89.13, 86.58 
791, 230.00, 53.88, -55.89, 58.08, -3.20, -11.60, 0.01, 78.29, 164.57
 791, 325.00, 56.07, -58.63, 5925.74, 155.17, -176.60, 99.99, 87.73, -138.70 
792, 230.00, 87.66, -25.95, 32.69, 48.48, 9.92, 0.01, 33.45, -78.44
 792, 325.00, 96.18, -27.73, 5910.26, 474.90, -114.80, 99.99, 85.27, -103.59 
793, 230.00, -1.01, -32.11, 13.82, -52.70, -23.43, 0.01, 13.47, 113.97
 793, 325.00, -2.72, -33.56, 5929.36, -57.44, -95.29, 99.99, 88.92, 148.92 
794, 230.00, -48.89, -14.00, 24.64, 53.83, 3.58, 0.01, 24.54, -86.20
 794, 325.00, -48.32, -14.21, 5930.24, -36.86, -22.82, 99.99, 89.58, 121.76 
795, 230.00, -44.31, -48.67, 44.81, 32.76, 20.88, 0.01, 49.08, -57.49
 795, 325.00, -44.62, -49.49, 5929.37, -66.00, -88.20, 99.99, 88.94, 143.19 
796, 230.00, -97.30, -15.37, 57.31, 14.52, 4.70, 0.01, 75.09, -72.06
 796, 325.00, -111.77, -17.59, 5880.29, -761.51, -117.73, 100.00, 82.53, 98.79 
797, 230.00, 22.71, 40.23, 13.04, 57.71, -4.11, 0.01, 12.70, -94.08
 797, 325.00, 25.07, 41.01, 5929.10, 102.09, 70.68, 99.99, 88.80, -55.31 
798, 230.00, -64.94, -65.15, 26.87, -38.72, 36.00, 0.01, 26.94, 47.08
 798, 325.00, -71.43, -69.37, 5912.84, -358.79, -280.41, 99.99, 85.60, 128.01 
799, 230.00, -88.89, -20.08, 16.78, 47.82, -30.80, 0.01, 16.44, -122.78
 799, 325.00, -94.14, -22.55, 5918.17, -358.90, -125.25, 99.99, 86.32, 109.24 
800, 230.00, 48.16, 31.28, 19.95, -54.17, -13.63, 0.01, 19.66, 104.12
 800, 325.00, 47.67, 31.65, 5930.06, 40.09, 48.38, 99.99, 89.39, -39.65 
801, 230.00, -45.24, -9.35, 9.92, -50.81, -28.94, 0.01, 9.63, 119.67
 801, 325.00, -47.88, -10.49, 5928.63, -136.75, -47.37, 99.99, 88.60, 109.11 
802, 230.00, -62.90, -68.49, 2.57, -54.97, -22.11, 0.01, 2.48, 111.91
 802, 325.00, -70.23, -75.33, 5905.03, -390.21, -384.70, 99.99, 84.70, 134.59 
803, 230.00, 28.73, -53.14, 16.00, 55.74, -12.45, 0.01, 15.65, -102.59
 803, 325.00, 31.29, -55.00, 5927.90, 118.39, -124.91, 99.99, 88.34, -136.54 
804, 230.00, -91.72, 11.78, 14.36, -8.72, 56.88, 0.01, 14.01, 8.72
 804, 325.00, -99.77, 14.52, 5910.42, -471.79, 119.92, 99.99, 85.29, 75.74 
805, 230.00, -45.13, 82.81, 14.95, 36.61, -44.21, 0.01, 14.60, -140.37
 805, 325.00, -48.24, 89.23, 5912.99, -206.78, 403.94, 99.99, 85.61, 27.11 
806, 230.00, -59.95, 46.92, 32.95, -11.22, -48.02, 0.01, 33.75, 166.85
 806, 325.00, -62.70, 47.30, 5927.09, -180.19, 81.62, 99.99, 88.09, 65.63 
807, 230.00, -18.79, 86.47, 58.25, -8.93, 6.71, 0.01, 79.15, 53.07
 807, 325.00, -20.31, 92.42, 5918.33, -87.87, 368.01, 99.99, 86.34, 13.43 
808, 230.00, 62.43, -58.57, 46.50, -6.79, -36.18, 0.01, 51.63, 169.37
 808, 325.00, 65.85, -63.10, 5920.40, 227.53, -258.36, 99.99, 86.67, -138.63 
809, 230.00, -70.69, 50.14, 56.07, 4.48, -18.81, 0.01, 70.97, -166.61
 809, 325.00, -74.80, 52.57, 5921.81, -267.93, 173.53, 99.99, 86.91, 57.07 
810, 230.00, 63.75, 49.83, 39.59, -38.48, -21.68, 0.01, 41.87, 119.39
 810, 325.00, 65.53, 51.48, 5926.66, 161.54, 135.07, 99.99, 87.97, -50.10 
811, 230.00, -54.90, 18.11, 14.97, -3.37, -57.29, 0.01, 14.62, 176.64
 811, 325.00, -56.44, 16.76, 5929.25, -114.29, -22.86, 99.99, 88.87, 101.31 
812, 230.00, 91.59, 35.42, 5.96, -27.66, -52.12, 0.01, 5.77, 152.05
 812, 325.00, 104.01, 38.99, 5888.47, 669.40, 214.45, 99.99, 83.19, -72.24 
813, 230.00, -44.47, -54.72, 37.18, -13.27, 44.26, 0.01, 38.82, 16.69
 813, 325.00, -46.41, -55.20, 5928.43, -123.87, -89.27, 99.99, 88.52, 125.78 
814, 230.00, -35.20, -35.15, 13.98, -21.92, 53.31, 0.01, 13.63, 22.35
 814, 325.00, -36.72, -34.27, 5929.72, -89.04, -11.03, 99.99, 89.13, 97.06 
815, 230.00, -60.01, 66.89, 52.28, 3.37, 27.81, 0.01, 61.82, -6.92
 815, 325.00, -64.24, 72.56, 5915.51, -263.20, 326.80, 99.99, 85.94, 38.85 
816, 230.00, -95.10, -11.01, 32.83, 30.25, -39.04, 0.01, 33.61, -142.23
 816, 325.00, -104.48, -13.38, 5904.17, -546.96, -108.76, 99.99, 84.60, 101.25 
817, 230.00, 66.75, 9.12, 26.61, 27.99, 45.02, 0.01, 26.65, -31.87
