ion,x,y,z,vx,vy,vz,energy,elev,azim
1, 230.00, 77.75, 12.59, 39.41, 5.87, 43.93, 0.01, 41.64, -7.61
 1, 325.00, 81.37, 14.52, 5924.85, 242.06, 84.25, 99.99, 87.52, -70.81 
2, 230.00, 66.17, 37.57, 55.82, 17.80, 9.19, 0.01, 70.26, -62.71
 2, 325.00, 69.41, 39.38, 5925.67, 206.39, 116.22, 99.99, 87.71, -60.62 
3, 230.00, 7.86, -30.94, 22.00, 36.69, 41.08, 0.01, 21.78, -41.77
 3, 325.00, 9.20, -30.29, 5930.06, 56.59, -27.90, 99.99, 89.39, -116.24 
4, 230.00, -8.44, 69.04, 58.52, 2.71, -9.26, 0.01, 80.63, -163.68
 4, 325.00, -8.64, 71.05, 5928.26, -17.70, 158.18, 99.99, 88.46, 6.39 
5, 230.00, 31.58, -38.41, 8.36, 44.84, -37.91, 0.01, 8.10, -130.21
 5, 325.00, 33.75, -40.52, 5928.41, 105.63, -111.25, 99.99, 88.52, -136.49 
6, 230.00, 4.15, 50.95, 16.44, 11.97, 55.72, 0.01, 16.09, -12.13
 6, 325.00, 4.63, 53.93, 5928.36, 20.25, 154.15, 99.99, 88.50, -7.48 
7, 230.00, -15.93, -46.23, 23.33, 44.63, -31.33, 0.01, 23.16, -125.07
 7, 325.00, -14.87, -48.28, 5929.19, 16.54, -118.52, 99.99, 88.84, -172.05 
8, 230.00, -79.01, 18.84, 49.73, -2.76, -32.21, 0.01, 56.97, 175.10
 8, 325.00, -82.88, 18.74, 5924.70, -258.40, 27.10, 99.99, 87.49, 84.01 
9, 230.00, 4.03, -4.01, 47.70, 18.66, 29.90, 0.01, 53.54, -31.97
 9, 630.00, 10.75, -4.82, 4960.70, 112.66, -32.36, 70.00, 88.65, -106.03 
10, 230.00, 38.61, -71.57, 24.69, -51.98, -14.36, 0.01, 24.60, 105.44
 10, 325.00, 38.84, -75.45, 5924.85, 70.32, -246.65, 99.99, 87.52, -164.09 
11, 230.00, -33.48, 7.25, 20.74, -44.27, 33.58, 0.01, 20.47, 52.82
 11, 325.00, -35.60, 8.47, 5929.11, -113.24, 49.52, 99.99, 88.81, 66.38 
12, 230.00, 46.46, 64.35, 12.96, -20.28, 54.21, 0.01, 12.62, 20.51
 12, 325.00, 47.94, 68.98, 5923.56, 123.03, 256.76, 99.99, 87.25, -25.60 
13, 230.00, 5.11, -42.70, 3.32, -33.05, 49.13, 0.01, 3.21, 33.93
 13, 325.00, 4.17, -42.05, 5930.27, -24.70, -29.12, 99.99, 89.63, 139.70 
14, 230.00, -2.62, 94.96, 45.26, -1.79, -38.28, 0.01, 49.75, 177.32
 14, 325.00, -2.94, 103.33, 5908.84, -16.97, 504.58, 99.99, 85.12, 1.93 
15, 230.00, 81.59, -29.63, 39.60, -24.74, 36.57, 0.01, 41.89, 34.07
 15, 325.00, 85.71, -30.27, 5922.95, 287.64, -75.34, 99.99, 87.13, -104.68 
16, 230.00, 31.73, -25.01, 40.72, 42.04, -9.61, 0.01, 43.36, -102.88
 16, 325.00, 33.75, -25.85, 5929.24, 102.66, -56.53, 99.99, 88.87, -118.84 
17, 230.00, 77.91, -42.45, 52.90, 23.52, -12.90, 0.01, 63.11, -118.74
 17, 325.00, 83.93, -45.74, 5916.54, 355.55, -193.83, 99.99, 86.08, -118.60 
18, 230.00, -88.32, 0.61, 5.88, 48.91, -33.02, 0.01, 5.69, -124.03
 18, 325.00, -92.47, -0.37, 5922.36, -306.61, -32.44, 99.99, 87.02, 96.04 
19, 230.00, -37.71, -73.19, 14.99, 49.27, -29.43, 0.01, 14.64, -120.85
 19, 325.00, -38.07, -77.79, 5923.49, -74.68, -276.45, 99.99, 87.23, 164.88 
20, 230.00, 32.29, 43.37, 0.08, 12.56, -57.96, 0.01, 0.08, -167.77
 20, 325.00, 33.48, 42.58, 5929.87, 75.15, 23.41, 99.99, 89.24, -72.70 
21, 230.00, -67.04, -52.37, 10.54, 23.35, 53.49, 0.01, 10.23, -23.59
 21, 325.00, -70.00, -53.58, 5924.98, -216.41, -131.89, 99.99, 87.55, 121.36 
22, 230.00, 70.02, -30.38, 10.70, -56.18, -15.73, 0.01, 10.39, 105.64
 22, 325.00, 71.06, -32.08, 5927.94, 137.22, -101.46, 99.99, 88.35, -126.48 
23, 230.00, -27.81, -55.14, 27.24, -46.17, -25.37, 0.01, 27.34, 118.79
 23, 325.00, -30.05, -57.51, 5927.66, -107.58, -144.62, 99.99, 88.26, 143.36 
24, 230.00, -18.97, 56.18, 59.15, 4.29, -0.70, 0.01, 85.80, -99.32
 24, 325.00, -19.34, 57.66, 5929.19, -34.46, 114.47, 99.99, 88.84, 16.75 
25, 230.00, -68.05, -39.03, 57.34, -15.02, 2.02, 0.01, 75.19, 82.34
 25, 325.00, -71.49, -40.67, 5925.18, -220.42, -115.27, 99.99, 87.60, 117.61 
26, 230.00, 34.17, -5.18, 30.86, 46.90, -19.12, 0.01, 31.35, -112.18
 26, 325.00, 36.38, -5.90, 5929.16, 116.98, -30.24, 99.99, 88.83, -104.50 
