ion,x,y,z,vx,vy,vz,energy,elev,azim
1, 230.00, -15.76, -98.26, 49.60, -29.32, 14.07, 0.01, 56.74, 64.37
 1, 325.00, -19.61, -116.47, 5857.59, -180.08, -911.51, 100.01, 80.99, 168.82 
2, 230.00, 89.03, 9.02, 43.26, 1.83, -40.53, 0.01, 46.84, -177.42
 2, 325.00, 95.30, 8.41, 5917.71, 387.91, -3.80, 99.99, 86.25, -90.56 
3, 230.00, 74.80, -64.35, 33.65, -23.71, -42.70, 0.01, 34.56, 150.96
 3, 325.00, 86.22, -76.06, 5871.58, 598.39, -582.59, 100.00, 81.90, -134.23 
4, 230.00, -23.29, -11.97, 57.77, 7.49, 11.14, 0.01, 76.91, -33.91
 4, 325.00, -23.61, -11.90, 5929.98, -65.77, -25.96, 99.99, 89.32, 111.54 
5, 230.00, -35.43, 13.81, 13.23, -52.56, -24.09, 0.01, 12.89, 114.63
 5, 325.00, -37.87, 13.34, 5929.11, -123.18, 1.68, 99.99, 88.81, 89.22 
6, 230.00, 24.19, -16.91, 52.56, -9.56, -25.77, 0.01, 62.40, 159.64
 6, 325.00, 24.42, -18.11, 5929.78, 50.51, -69.59, 99.99, 89.17, -144.02 
7, 230.00, 40.51, -36.31, 54.93, 12.64, 18.44, 0.01, 67.86, -34.44
 7, 325.00, 41.91, -36.63, 5929.46, 92.16, -51.77, 99.99, 88.98, -119.32 
8, 230.00, 39.16, 21.88, 41.64, -40.07, -13.36, 0.01, 44.59, 108.44
 8, 325.00, 38.75, 21.95, 5930.25, 32.20, 27.36, 99.99, 89.59, -49.65 
9, 230.00, 42.22, 79.76, 50.63, 1.44, 30.86, 0.01, 58.61, -2.67
 9, 325.00, 45.38, 86.61, 5914.12, 193.05, 394.57, 99.99, 85.75, -26.07 
10, 230.00, -81.03, -47.58, 31.91, 22.39, 44.70, 0.01, 32.55, -26.61
 10, 325.00, -87.80, -50.59, 5912.50, -410.87, -207.63, 99.99, 85.55, 116.81 
11, 230.00, -50.31, -75.52, 48.90, -29.26, -16.45, 0.01, 55.53, 119.34
 11, 325.00, -55.05, -81.80, 5912.98, -264.98, -368.63, 99.99, 85.61, 144.29 
12, 230.00, 11.80, -78.08, 12.47, -25.00, -52.32, 0.01, 12.13, 154.46
 12, 325.00, 11.55, -83.25, 5922.99, 10.25, -296.25, 99.99, 87.13, -178.02 
13, 230.00, -8.46, 75.98, 6.76, 8.57, -58.30, 0.01, 6.54, -171.64
 13, 325.00, -8.53, 77.18, 5928.43, -14.74, 151.75, 99.99, 88.53, 5.55 
14, 230.00, -39.53, -42.79, 50.60, -20.31, 23.34, 0.01, 58.56, 41.03
 14, 325.00, -41.21, -43.18, 5929.19, -101.48, -62.86, 99.99, 88.85, 121.77 
15, 230.00, -92.47, 4.39, 15.73, -17.68, 54.38, 0.01, 15.38, 18.01
 15, 325.00, -100.95, 6.44, 5909.69, -488.93, 80.21, 99.99, 85.21, 80.68 
16, 230.00, -64.46, -40.09, 30.55, -23.42, 45.12, 0.01, 31.00, 27.44
 16, 325.00, -67.77, -40.28, 5926.46, -205.62, -65.44, 99.99, 87.91, 107.65 
17, 230.00, 78.44, 43.20, 0.10, 53.62, -25.34, 0.01, 0.10, -115.29
 17, 325.00, 85.70, 45.50, 5914.42, 403.06, 163.79, 99.99, 85.79, -67.89 
18, 230.00, -4.61, 93.18, 19.84, -43.44, 35.17, 0.01, 19.54, 51.00
 18, 325.00, -6.36, 102.74, 5905.93, -70.85, 533.88, 99.99, 84.79, 7.56 
19, 230.00, 98.23, 11.22, 50.12, -30.14, 9.86, 0.01, 57.68, 71.88
 19, 325.00, 113.45, 13.35, 5876.01, 795.07, 105.05, 99.99, 82.23, -82.47 
20, 230.00, -31.77, -64.38, 35.93, -46.74, 6.46, 0.01, 37.29, 82.13
 20, 325.00, -34.38, -66.48, 5926.83, -130.46, -158.80, 99.99, 88.01, 140.60 
21, 230.00, 18.64, 79.06, 25.12, -44.89, -29.53, 0.01, 25.06, 123.34
 21, 325.00, 18.13, 81.89, 5926.21, 12.58, 222.23, 99.99, 87.85, -3.24 
22, 230.00, 59.18, 60.20, 45.96, -32.43, -18.81, 0.01, 50.80, 120.11
 22, 325.00, 61.36, 62.86, 5924.65, 175.29, 193.24, 99.99, 87.48, -42.21 
23, 230.00, -17.76, 38.16, 9.24, 49.93, 30.64, 0.01, 8.97, -58.47
 23, 325.00, -16.56, 39.97, 5929.46, 18.29, 103.78, 99.99, 88.98, -9.99 
24, 230.00, -0.90, -70.93, 18.38, 28.92, -48.41, 0.01, 18.06, -149.14
 24, 325.00, -0.02, -74.97, 5925.82, 27.88, -231.23, 99.99, 87.75, -173.12 
25, 230.00, 17.37, 67.93, 56.36, 17.60, 5.65, 0.01, 71.85, -72.21
 25, 325.00, 18.52, 70.42, 5927.52, 61.39, 174.20, 99.99, 88.22, -19.41 
26, 230.00, 2.06, -40.98, 25.87, 13.07, 51.75, 0.01, 25.86, -14.17
 26, 325.00, 2.52, -40.22, 5930.32, 17.57, -25.63, 99.99, 89.70, -145.57 
27, 230.00, -7.49, 28.97, 48.75, -32.21, 10.19, 0.01, 55.28, 72.45
 27, 325.00, -8.68, 29.93, 5929.61, -52.11, 80.98, 99.99, 89.07, 32.76 
28, 230.00, -9.41, -39.23, 10.44, -58.12, 5.55, 0.01, 10.14, 84.55
 28, 325.00, -11.48, -39.90, 5929.48, -78.33, -69.16, 99.99, 88.99, 131.44 
29, 230.00, 42.94, -70.73, 26.44, -38.70, 36.35, 0.01, 26.48, 46.79
 29, 325.00, 43.88, -73.13, 5926.21, 102.64, -197.86, 99.99, 87.85, -152.58 
30, 230.00, -18.43, -33.30, 34.02, -10.85, -47.36, 0.01, 35.00, 167.10
 30, 325.00, -19.17, -35.53, 5929.13, -46.83, -113.47, 99.99, 88.81, 157.57 
