ion,x,y,z,vx,vy,vz,energy,elev,azim
1, 230.00, 65.75, 55.88, 50.88, -27.91, 12.23, 0.01, 59.08, 66.33
 1, 325.00, 68.77, 59.56, 5922.00, 220.58, 225.43, 99.99, 86.95, -44.38 
2, 230.00, 61.80, -69.28, 48.35, -6.92, -33.64, 0.01, 54.61, 168.38
 2, 325.00, 66.98, -76.35, 5909.16, 311.08, -392.80, 99.99, 85.15, -141.62 
3, 230.00, 5.19, 71.68, 17.93, -55.38, -11.39, 0.01, 17.60, 101.62
 3, 325.00, 3.63, 73.86, 5927.77, -44.54, 170.70, 99.99, 88.30, 14.62 
4, 230.00, -12.35, 83.44, 59.18, -3.15, 2.20, 0.01, 86.28, 55.09
 4, 325.00, -13.12, 88.06, 5922.59, -47.47, 300.55, 99.99, 87.06, 8.97 
5, 230.00, 20.76, -6.19, 39.65, 8.20, 43.34, 0.01, 41.95, -10.71
 5, 325.00, 21.55, -4.96, 5929.46, 106.36, 19.62, 99.99, 88.96, -79.55 
6, 230.00, 1.24, -62.08, 10.13, -40.05, 42.55, 0.01, 9.83, 43.27
 6, 325.00, 0.00, -62.46, 5929.63, -38.96, -87.15, 99.99, 89.08, 155.91 
7, 230.00, 79.41, 43.50, 47.40, 9.51, 34.35, 0.01, 53.06, -15.48
 7, 325.00, 85.68, 47.82, 5913.83, 374.88, 236.26, 99.99, 85.71, -57.78 
8, 230.00, 69.91, 41.20, 57.35, 12.75, -8.15, 0.01, 75.22, -122.60
 8, 325.00, 73.66, 42.93, 5924.23, 239.74, 124.85, 99.99, 87.39, -62.49 
9, 230.00, 4.59, -12.90, 32.42, -9.59, -48.73, 0.01, 33.13, 168.87
 9, 630.00, 8.18, -31.85, 5294.13, 72.47, -324.78, 80.00, 86.40, -167.42 
10, 230.00, 85.35, -40.02, 9.13, -20.91, 54.75, 0.01, 8.86, 20.90
 10, 325.00, 92.74, -42.12, 5911.57, 443.83, -160.20, 99.99, 85.44, -109.85 
11, 230.00, -40.45, 76.12, 43.78, -18.06, 35.70, 0.01, 47.58, 26.83
 11, 325.00, -43.44, 81.80, 5918.52, -175.33, 331.77, 99.99, 86.37, 27.86 
12, 230.00, 59.60, 14.68, 9.74, -56.86, 13.79, 0.01, 9.45, 76.37
 12, 325.00, 59.43, 15.52, 5929.86, 65.60, 44.99, 99.99, 89.23, -55.56 
13, 230.00, -68.30, 39.13, 52.39, -4.66, -27.42, 0.01, 62.04, 170.35
 13, 325.00, -71.44, 39.99, 5926.00, -210.37, 89.01, 99.99, 87.79, 67.07 
14, 230.00, 3.38, 58.43, 45.42, -25.95, -27.95, 0.01, 49.98, 137.12
 14, 325.00, 2.65, 59.07, 5929.69, -20.08, 89.05, 99.99, 89.12, 12.71 
15, 230.00, 21.60, -56.49, 48.54, 15.00, -30.59, 0.01, 54.93, -153.88
 15, 325.00, 22.67, -59.01, 5928.18, 60.87, -150.22, 99.99, 88.43, -157.94 
16, 230.00, 13.30, 70.68, 16.77, 53.53, 19.25, 0.01, 16.43, -70.22
 16, 325.00, 15.47, 73.83, 5926.25, 90.21, 202.55, 99.99, 87.86, -24.01 
17, 230.00, -8.27, 27.66, 9.48, 47.77, -33.85, 0.01, 9.20, -125.32
 17, 325.00, -6.93, 27.19, 5930.20, 28.36, 38.96, 99.99, 89.53, -36.05 
18, 230.00, -34.19, 44.86, 10.53, 11.74, -57.17, 0.01, 10.23, -168.40
