ion,x,y,z,vx,vy,vz,energy,elev,azim
1, 230.00, -25.93, -41.01, 29.62, -29.18, -42.30, 0.01, 29.96, 145.40
 1, 325.00, -27.45, -43.30, 5928.65, -78.74, -120.56, 99.99, 88.61, 146.85 
2, 230.00, -45.68, 23.41, 0.60, 53.08, -26.46, 0.01, 0.58, -116.50
 2, 325.00, -45.06, 23.12, 5930.29, -31.64, 16.98, 99.99, 89.65, 61.78 
3, 230.00, 16.42, -85.39, 35.49, 17.05, 44.36, 0.01, 36.75, -21.03
 3, 325.00, 17.93, -89.16, 5923.08, 81.41, -282.98, 99.99, 87.15, -163.95 
4, 230.00, -34.18, 68.66, 29.66, -39.38, -32.98, 0.01, 30.00, 129.94
 4, 325.00, -36.82, 70.44, 5926.57, -138.87, 161.66, 99.99, 87.94, 40.66 
5, 230.00, 40.31, 64.53, 39.77, 18.50, 39.92, 0.01, 42.11, -24.87
 5, 325.00, 42.54, 68.42, 5924.54, 134.70, 226.41, 99.99, 87.45, -30.75 
6, 230.00, -21.49, 84.41, 27.87, 37.47, -36.56, 0.01, 28.03, -134.30
 6, 325.00, -21.63, 88.39, 5923.19, -43.78, 288.81, 99.99, 87.18, 8.62 
7, 230.00, -23.89, -94.09, 22.27, -21.99, -50.38, 0.01, 22.05, 156.42
 7, 325.00, -27.69, -107.99, 5883.30, -192.79, -720.57, 99.99, 82.77, 165.02 
8, 230.00, 82.40, 54.26, 42.89, 3.85, 40.78, 0.01, 46.31, -5.39
 8, 325.00, 95.98, 64.34, 5868.59, 695.47, 499.04, 100.00, 81.70, -54.34 
9, 230.00, -30.75, -32.29, 36.20, 26.50, -38.80, 0.01, 37.61, -145.67
 9, 325.00, -30.58, -34.24, 5929.47, -29.77, -100.29, 99.99, 88.99, 163.47 
10, 230.00, 29.82, 41.25, 54.61, -18.99, -13.22, 0.01, 67.04, 124.83
 10, 325.00, 29.92, 41.80, 5929.93, 36.78, 64.41, 99.99, 89.28, -29.73 
11, 230.00, 79.56, -51.96, 41.16, -40.82, 12.54, 0.01, 43.95, 72.92
 11, 325.00, 86.33, -56.80, 5909.00, 414.06, -285.45, 99.99, 85.14, -124.58 
12, 230.00, 53.28, -26.29, 19.10, 55.25, -10.00, 0.01, 18.79, -100.26
 12, 325.00, 56.48, -27.32, 5927.65, 168.29, -65.14, 99.99, 88.26, -111.16 
13, 230.00, -46.15, -5.22, 55.65, -16.50, -12.20, 0.01, 69.76, 126.47
